Scenario,Risk_Level,Cause_of_Accident,Keywords
"At 9:15 a.m. on June 17, 2022, an employee who worked for an HVAC contractor was utilizing a Trimble Unit to mark the locations of plumbing components such as PEX chairs and sleeves. The employee had his back turned when he was struck by a load of 4-foot by 8-ffot decking sheets. The load of decking sheets was being offloaded on the 31st floor by a crane operator. The employee was pushed from the 28th floor approximately 30-feet down a stairwell shaft that was under construction. The employee struck his head on the steps and his legs on the wooden stair railing on the outside perimeter of the stairs. The employee broke his legs on the top and middle rail of the 28th floor guardrail system due to the fall. In addition, multiple decking sheets fell down the unfinished stairwell shaft hitting multiple shoring posts and destroying the existing guardrail systems from the 31st to the 28th floor. Overall, the employee encurred head and lead injuries and whole body impact from being struck-by the load and the fall and was killed.",High,Struck By Object,"blunt force, blunt force trauma, broken bone, construction, crane"
"At 3:10 p.m. on October 29, 2022, and employee was remodeling a single family residential structure and was installing drywall when he fell from the scaffold and hit his head on the concrete floor. The employee died due to head trauma.",High,Falls,"blunt force, blunt force trauma, drywall, fall, fall from elevation"
"On April 4, 2023, an employee working as an electrician for an electrical contractor was preparing to dismantle a radiator from a transformer by removing the connecting flange bolts. The employee was at ground level when the unsecured radiator dropped and fell onto the employee. The employee died from blunt force trauma injuries to his legs.",High,Electrocution,"blunt force, blunt force trauma, construction, crushed, dismantling"
"At 10:59 p.m. on June 30, 2022, an employee was adjusting an aluminum truss for a roof of a cotton seed bin. The employee fell off the structure and into the bin hitting the inside walls. The employee came out the bottom door opening and landed on the concrete slab under the bin. The employee incurred head injuries and was killed.",High,Falls,"blunt force, blunt force trauma, concrete slab, construction, contusion"
"At 8:00 a.m. on January 30, 2023, an employee was doing checks on all levels at a construction job site. The employee conducted checks on level 9 to level 5 and was on the level 5 metal stairwell when fell to level 3. The employee died due to blunt force trauma.",High,Other/Unspecified,"blunt force, blunt force trauma, construction, fall, fall from elevation"
"On June 14, 2022, an employee who worked as a Piperfitter was engaged in the demolition of 36-inch pipe section. The valve pipe separted from the wall during demolition of the pipe. The employee was working on a crew with three coworkers cutting the section of pipe. The goal was to lower the pipe to a metal cart using rigging. The employee was attempting to secure the pipe to the cart when an overhead valve pipe section fell onto the pipe. The falling section caused the pipe to push forward and pin the employee between the pipe and another pipe. The employer had failed to ensure the crew was clear of a load suspended aove them by slings. The employee incurred head injuries and was killed.",High,Falls,"blunt force, blunt force trauma, caught between, construction, crushed"
"At 2:25 p.m. on March 3, 2023, an employee working as an electrician for an electrical contractor was working alone at a site. It is not known specifically when the accident occurred nor what the employee was doing before it occurred. The employee was found unconscious in an apartment under construction. Preliminary information indicates the employee fell from an upper level. The employee died from head injuries.",High,Electrocution,"blunt force, blunt force trauma, concussion, electrical, electrician"
"At 12:00 a.m. on September 14, 2022, an employee was stripping and re-shingling the roof of a two story residential dwelling. The shingles had been removed from the roof and TopShield SecureGrip25 Synthetic Roof Underlayment was applied. The employee was wearing a Gemtor full body harness and lanyard which was connected to a grab rope lifeline clasped to a reusable roof anchor. The employee moved from the west side of the dormer to the east side and flicked the rope grab lifeline over the ridge which was approximately 27 feet in height. The employee was assessing the underlayment near the leading edge of a 12:12 pitched roof dormer approximately 19.5 feet high. When the employee pulled on the rope grab to move, the steel locking snap hook on the lifeline unhooked from the anchor ring located at the ridge line. The employee fell backward and off the roof, striking a ladder and brick pavers. The employee was killed by blunt force injuries.",High,Falls,"anchor, attachment hook, blunt force, blunt force trauma, construction"
"At 2:30 p.m. on June 21, 2022, an employee was helping with the excavation of new holes in the ground. The employee was struck in the head by the auger attached to the skid steer. He fell into a 10.5 foot excavation as a result and died.",High,Struck By Object,"auger, auger mechanism, blunt force, blunt force trauma, construction"
"At 6:37 p.m. on June 27, 2022, an employee had just removed a panel of roof sheathing from a rooftop when he stepped onto the underlying roof insulation and fell through the roof. The employee was not using fall protection and fell approximately 18 feet. As the employee fell, he struck a cabinet, shelving, and the concrete floor and was killed.",High,Falls,"blunt force, blunt force trauma, concrete floor, construction, fall"
"On July 24, 2022, an employee of a roofing contractor (the owner) was attempting to repair a pneumatic nail gun. Coworkers reported that the employee and was seen taking the gun apart and then putting it back together over a 3 hour period. There were no witnesses to what happened but coworkers speculated that the employer attached the nail gun to the air compressor when the gun discharged. A part of the gun flew off the gun and hit the employee in the eye, killing him.",High,Falls,"construction, eye, eye protection, flying object, hand tool"
"At 4:50 a.m. on June 30, 2022, an employee was exchanging factory installed hinges with a different color hinge on apartment balcony doors. The balcony doors are less than 8 feet from the edge of each balcony. Some of the balconies did not offer workers protection from falls. The distance from next lowest level to the balconies edges were between 10-feet 8 7/8 inches and 42-feet 8 1/2 inches. The employee fell to hardened concrete below and died. The employee either fell from a balcony or committed suicide. The reason suicide is suspected is not included in the narrative.",High,Falls,"balcony, carpenter, concrete, door, fall"
"At 11:30 p.m. on March 23, 2023, an employee was working from a 6-foot stepladder within one of the bedrooms of the single-family home, performing prep work on walls before painting. The ceiling height of the bedroom was approximately 9 feet high. The employee, while working on an A-frame ladder within one of the bedrooms, fell from the ladder at a height of approximately 5 feet and hit his head on the ground, resulting in blunt force head trauma and death.",High,Falls,"blunt force trauma, fall, fall from elevation, ladder, painter"
"At 7:30 p.m. on December 9, 2022, an employee who worked as as an Engineering Technician for an engineering services firm was testing concrete on the new addition of a commercial building. A ten pound metal crowbar fell from one of the floors of the structure and struck the employee in the head. The employee incurred blunt force trauma injuries and was killed.",High,Struck By Object,"blunt force, blunt force trauma, brain, commercial building, concrete"
"At 12:00 noon on August 17, 2022, three employees were erecting and installing blocks on 45-foot long roof trusses for a new amenity building when one of the trusses was released too early by the crane operator before the employees were able to block it out. While trying to hold and upright the roof truss, the truss broke and the employees fell with the truss and another roof truss fell on top of the employees when one of them attempted to hold himself up with the installed truss. One employee landed face down on the concrete slab and the roof truss that had fallen and was killed.",High,Falls,"blunt force, blunt force trauma, construction, crane, crane operator"
"At 1:46 p.m. on December 26, 2022, an employee was asked to get the center measurement for a main center support beam that was to be placed for the two car garage. The general contractor turned away to go get a forklift and when he came back he saw the employee lying face up on the concrete slab foundation in a pool of blood and unresponsive. The 8-foot fiberglass stepladder was toppled over near the employee's feet and the metal spreader/locking arms were slightly folded up and not locked. The employee died due to a fractured skull.",High,Falls,"blunt force, blunt force trauma, climbing on ladder, concrete floor, fall"
"At 1:45 p.m. on May 19, 2022, an employee was raising scaffold outriggers while preparing to perform masonry work at a new residential building. The employee attempted to jump from the east area to the south area of the scaffold but fell 12 feet onto the concrete floor, landing headfirst. The employee sustained skull and finger fractures from the fall and was killed.",High,Falls,"fall, fall from elevation, fracture, head, masonry"
"At 10:30 a.m. on October 10, 2022, an employee was working on a roofing crew covering fiberglass skylight panels with metal. The crew had to cover 12 skylights before installing a new thermoplastic polyolefin (TPO) roof ing system over an existing metal roof. The employee stepped onto one of the uncovered skylight panels and the panel gave way. The employee fell through the opening approximately 18 feet to the concrete floor below. He incurred head trauma and died four days later.",High,Falls,"blunt force, blunt force trauma, concrete floor, concussion, construction"
"At 2:30 p.m. on September 29, 2022, an employee was on the roof at a customer construction site when he fell through a skylight. The employee was transported to the hospital with head and other injuries, where he died at 5:00 p.m.",High,Falls,"blunt force, blunt force trauma, construction, fall, fall from elevation"
"At 2:45 p.m. on February 27, 2023, an employee working as a supervisor for an environmental remediation contractor was removing asbestos containing siding material from a garage. The garage was built sometime around the 1940s or 1950s and was attached to a building built in the early 1900s. The employee was standing on a ladder working inside the garage, which had a heavy snow load on the roof. As the employee attempted to remove the siding from behind a 2-inch by 12-inch wooden beam which attached the garage roof to the house, the structural integrity of the roof was compromised. The roof collapsed and crushed the employee. The employee sustained a concussion and multiple broken bones and was killed.",High,Falls,"asbestos removal, broken bone, building, building collapse, concussion"
"On September 5, 2022, an employee was installing moisture barrier to a residential roof. While working on the roof, the employee slipped and fell. The employee died due to his injuries.",High,Falls,"blunt force, blunt force trauma, construction, fall, fall from elevation"
"At 12:45 p.m. on August 31, 2022, an employee who was a roofer was walking on the roof of a commercial building while performing maintenance. The employee fell through a skylight panel and fell over 32 feet onto palletized materials and then the plant floor and died.",High,Falls,"arm, blunt force, blunt force trauma, chest, commercial building"
"On May 3, 2024, an employee working as a construction laborer for a door and window installer was preparing to remove a toe board located directly below a skylight he had just finished installing. The employee fell approximately 20 feet from the roof on which he was working, to a wooden deck located below. The employee struck the deck and came to rest downhill where he struck the ground. The employee died as a result of striking his head on the wooden deck.",High,Falls,"blunt force, blunt force trauma, building, concussion, construction"
"At 12:05 p.m. on June 16, 2022, an employee was grouting a fireplace that had been tiled the previous day. The fireplace is approximately twenty-one feet tall. The employee and coworkers had assembled a mobile scaffolding two-tiers tall and approximately 11-feet tall. To reach the top of the fireplace, the employee and coworkers used a Louisville 6-foot A- frame ladder placed on top of the scaffolding. The employee was observed working alone and had been standing on the ladder for about 30 minutes. Two coworkers from another subcontractor working in a room upstairs heard a scream and a crash. The coworkers found the employee laying face down on the concrete floor directly in front of the fireplace. No one witnessed the fall, but the ladder and scaffolding had fallen over and away from the fireplace. It is most likely that while the employee was pushing the grout into the space between the tiles he pushed on the ladder and caused the scaffold to tilt away from the fireplace. The scaffolding fell onto its side bring the employee down with it. The employee was killed when he fell straight down to the ground. The employee landed headfirst on the concrete floor and was unresponsive after the fall. Paramedics noted that the employee had a depressed skull fracture enar the right temple and attempted resuscitation on site but they could not revive the employee.",High,Falls,"concrete floor, construction, fall, fall from elevation, fall protection"
"At 8:50 p.m. on May 7, 2022, Employee #1 and Employee #2 were performing foundation repair work on a residential wooden frame house as part of a 2-man work crew. Both employees were working under the crawl space of the house to level the sagging foundation using two jacks. While the two jacks were simultaneously raising a galvanized steel beam, Employee #1 began receiving an electric shock and could not remove his hands from the jack wrench. When Employee #1 screamed out for help, Employee #2 started crawling towards him to help but was electrocuted and killed. Employee #1 was hospitalized for injuries sustained from the electric shock.",High,Electrocution,"crawl space, electric shock, electrocuted, hydraulic jack, jack"
"At 4:11 a.m. on May 9, 2023, an employee working as a carpenter for a roofing contractor was putting a pole barn style roof on a block garage. The employee was on the roof walking on the purlin unrolling Tyvek paper. As the employee was walking between the purlin and a truss when the purlin snapped in half. This caused the employee to fall approximately 17 feet to the concrete surface below. No fall protection was being used at the time. The employee died from blunt force trauma and multiple spots of brain bleeding.",High,Falls,"abrasion, blunt force, blunt force trauma, brain, brain bleed"
"At 3:48 p.m. on October 5, 2022, an employee was assisting in removing cotter pins from an Etnyre Chip Spreader. The crew, which included the employee and a coworker (Owner), had arrived a Contractor's Ranch about 9:30 a.m. that day. They had completed about 600 linear feet of road with the chip spreader. When the crew was done they went to the entrance to dump the remaining chips and gravel and dismantle the equipment. The employee and the coworker backed the chip spreader about 30 feet from the gravel pile and parked the equipment. The backhoe operator positioned the loader bucket in front of the chipper box. The coworker and the employee climbed on top of the chip spreader toward the chipper box and connected chains from the chipper box to attach to the loader bucket. Dismantling the chip spreader requires powering down the equipment and disconnecting the hydraulic hoses. Next, they were to use the loader bucket to lift the chipper box just enough to allow the cotter pins to be removed. The employee and the coworker were removing the pins starting on the right side and then moving to the left side. The left side was giving them some trouble, so they used the cotter pin from the right side as a tool to knock out the left side cotter pin. Once the pins were out, the coworker said he was putting the hair pin back into the cotter pin when he looked up and noticed the employee laying face up by the backhoe tire nearly under the counterweight. The coworker rushed to the employee and picked up his head to see what happened and he noticed a large amount of blood coming from the back of the employee's head. The coworker said he grabbed his handkerchief and started applying pressure but noticed that employee was not responding. He called for EMS and they arrived in about 20 to 30 minutes. The EMTs attempted lifesaving procedures but the employee was pronounced dead at the scene. The employee had an open wound on the back of his head from being struck by the equipment.",High,Transportation Incidents,"abrasion, chipper, concussion, construction, construction vehicle"
"At 11:30 a.m. on October 5, 2022, an employee and a coworker were installing soffit on a 20-foot metal scaffold platform. The 2-by-6 support lumber for the scaffold platform broke causing the scaffold platform to fall. The employee fell backwards over the side of the building approximately 20 feet to the ground. He died the next day at the hospital. There was no fall protection in use.",High,Falls,"blunt force, blunt force trauma, carpenter, construction, defect"
"At 8:45 a.m. on September 8, 2022, an employee, Coworker #1 and Coworker #2 were working together on setting the roof panels for a roofing contractor on a concrete tilt-up warehouse. They were working on top of the roof structure and were located approximately 40 feet above ground. The employee and both coworkers were all wearing personal fall protection harnesses and were tied off at the time. The employee had a 75-foot-long self-retracting lifeline while Coworker #1 and Coworker #2 had a 13-foot-long self-retracting lifeline. Because the anchor points and clips were set every 5 panels instead of every other panel, it did not allow for Coworker #1 to have enough length on his self-retracting lifeline to be tied off at all times. Therefore, Coworker #1 asked the employee if he could borrow his 75-foot lifeline, to ensure he was tied-off at all times. The employee agreed and removed his lifeline and was no longer tied off. Coworker #1 removed his 13- foot lifeline and swapped it with the longer lifeline. The employee, while no longer being tied off, was standing on a set panel and waited for the next panel to be set in place by Coworker #3, the Forklift Operator, using the Gradall Forklift. The employee began the process of nailing down the new panel, beginning from the wall and working his way to the opposite end. As the employee got to the middle of the panel to continue to nail it down, the panel he was standing on suddenly collapsed and fell approximately 40 feet to the ground below, along with the employee, who was not tied off. The employee struck the concrete surface below and was pronounced dead at the scene by paramedics.",High,Falls,"anchor, blunt force, blunt force trauma, concrete floor, construction"
"At 10:46 a.m. on May 6, 2023, an employee working as a roofer for a steel erection contractor was preparing to install a roof panel. The employee was working from the roof and was not tied off. He died when he fell through an opening in the roof and made impact with the ground 27 feet below.",High,Falls,"ankle, back, blunt force, blunt force trauma, chest"
"On August 5, 2022, an employee was working on a jobsite when he lost his balance and fell from a scaffold landing on his head. The employee incurred head and neck injuries and died onsite. Multiple rounds of life saving measures administered by emergency services was unsuccessful, and he was pronounced dead a short time later in the emergency room.",High,Falls,"blunt force, blunt force trauma, concussion, construction, fall"
"On May 18, 2023, Employee # 1 and Employee #2 were in structure under construction. A diesel motor for a generator with an enclosed trailer caught on fire, the trailer also contained process equipment and materials for spray- applied polyurethane foam insulation. After unsuccessful attempts to extinguish with portable fire extinguishers, the fire spread outside the trailer involving the recently applied foam insulation on the two-story parking garage ceiling, spreading to a five-story wood frame structure above. Attempts by the fire department and a tower crane operator to rescue Employee #1 and Employee #2 were unsuccessful due to growing intensity of fire and smoke. The emergency action plan was inadequate, an audible alarm was not used to evacuate workers, and there was one vertical means of egress throughout the seven-story structure. Employee #1 and Employee #2 were killed in the fires and their remains were located and recovered the next day.",High,Transportation Incidents,"access/egress, alarm, construction, fire, fire extinguisher"
"At 12:00 noon on September 14, 2022, an employee was working as a day laborer hired by a family friend to assist in framing a residential home. The employee was completing the framing of an exterior wall and went to retrieve bracing material nearby when he walked too close to the edge of a portal of the level. The employee lost his balance and fell, headfirst, through the portal nine feet onto a concrete pad. The employee was conscious but was gasping for air and was bleeding from the nose and mouth. The employee was laid down at the site for approximately an hour with no medical aid rendered. Later, the employee was driven by family members to an urgent care and then to a to a hospital where it was determined that he suffered a head and brain injury and multiple fractures to his vertebrae. Despite medical treatment in the ICU, the employee died from his injuries three days later.",High,Falls,"blunt force, blunt force trauma, bracing, brain, fall"
"At 2:40 p.m. on July 17, 2023, an employee working as a roofer with a roofing contractor crew was working on a roof of a commercial building. The crew saw bad weather moving in and started to come off the roof. They were bringing down 5-gallon buckets of silicone by descending an aluminum extension ladder while carrying the buckets. The employee and the ladder fell to the left and the employee struck his head on the concrete floor. The employee died from head injuries from impact with the floor.",High,Falls,"bucket, commercial building, construction, descending ladder, extension ladder"
"At 9:54 a.m. on October 25, 2022, an employee was framing the roof of a new residential construction when he fell from rafters to the concrete surface below and was killed.",High,Falls,"blunt force, blunt force trauma, concrete surface, fall, fall from elevation"
"At 12:30 p.m. on August 31, 2022, an employee was evaluating the materials and tools needed to complete the installation of bird boxes on a roof. The employee stepped on a poorly nailed bird box board and fell 22 feet. The employee incurred blunt force trauma from impacting the ground below and was killed.",High,Falls,"blunt force, blunt force trauma, construction, fall, fall from elevation"
"At 3:30 p.m. on July 13, 2023, an employee working as a construction laborer for a framing contractor was framing a residential property. The employee fell from the upper roof area to the concrete floor below. He died from a head injury as a result impact with the floor.",High,Falls,"abrasion, back, blunt force, blunt force trauma, carpenter"
"At 12:45 p.m on September 7, 2022, an employee working as an Electrician was checking electrical circuits on a commercial construction site. The employee was electrocuted when he came in contact with live wires while elevated in a JLG. Thye employee was killed after contacting the electrical wiring .",High,Electrocution,"aerial lift, construction, construction vehicle, contact, electric shock"
"At 10:30 a.m. on May 9, 2023, an employee was installing a drip edge on a roof. The employee detached himself rom a wall-anchored lanyard and began to cross from the right side to the left side of the roof. The employee lost his left foot grip and fell from the 6th to the 2nd floor. The employee sustained a head fracture and was killed.",High,Falls,"construction, fall, fall from elevation, fall protection, footings"
"At 12:15 a.m. on October 4, 2022, an employee (Foreman) was working for a company constructing a travel trailer factory. The employee was working on a crew of 5 coworkers installing insulation and metal roofing on the building. The crew went down from the roof to have lunch. After lunch, they returned to the roof to continue the installation. The employee came up on the roof and was observed not wearing his harness. He then went to the north side of the building where he was working prior to lunch. He did not put on any fall protection equipment, then he bent over to stretch out the insulation prior installing the metal panel. He apparently overstepped and placed his foot onto the insulation as he was bending over. He then appeared to step to close or over the edge, lost his balance and fell forward onto the concrete floor 25 feet below. The employee died from blunt force trauma to the head when he hit face first onto the concrete floor.",High,Falls,"blunt force, blunt force trauma, concrete floor, construction, fall"
"At 1:30 a.m. on October 8, 2022, an employee was performing GPS mapping to shoot specific points along a highway lane that crews were paving. The driver of a White Ford F-150 Pickup Truck clipped two center line traffic cones, swerved and struck the employee who was standing in the closed lane. The employee was killed due to being severed in half at or just above the hips.",High,Struck By Object,"construction, driver, highway, highway work zone, insufficient supervision"
"At 4:30 p.m. on June 17, 2022, an employee was installing a face plate for an electrical switch on the wall in a breakroom. The employee was installing an Insta-Hot on a 277 volt energized circuit using a non-insulted stripper cutter. The employee was shocked and burned both hands as a result. The employer had the employee transported to the hospital, where he later died.",High,Electrocution,"burn, construction, electric shock, electrical, electrical burn"
"At 4:30 p.m. on December 15, 2022, an employee was picking up debris and putting it into a wooden trash box on the third level of the new residential building construction. The employee fell through an unsecured cover that was not completely covering a large hole and fell approximately 24 feet to the lower level. The employee was initially hospitalized with serious head and brain injuries but subsequently died.",High,Struck By Object,"blunt force, blunt force trauma, cleaning, construction, cover"
"On June 7, 2023, an employee of a roofing contractor was removing a top layer of old shingles by hand from a residential garage roof. The employee slipped, attempted to jump into a grassy area, fell backwards, and landed on a concrete driveway. The employee sustained a head wound and was transported to the hospital and later died.",High,Falls,"fall, fall from elevation, fall protection, head, removing"
"At 12:00 noon on January 2, 2023, five employees were working on a mast climbing work platform on the tenth floor of a new multi-unit residential building under construction when the platform collapsed and 3 employees fell approximately 70 feet from the tenth floor to the fourth floor. The employees died on the impact. The other two employees on the platform were rescued by the local fire department and transported to a medical center with non-life-threatening injuries.",High,Struck By Object,"blunt force, blunt force trauma, collapse, elevated work platform, fall"
"At 12:45 p.m. on September 6, 2022, an employee who was not wearing fall protection was working on a roof when he fell. The employee was killed due to head injuries in the 30 foot drop to the ground below.",High,Falls,"blunt force, blunt force trauma, construction, fall, fall from elevation"
"At 1:35 p.m. on March 2, 2023, an employee working for a painting contractor had positioned an extension ladder up against a roof facia/eve approximately 16 feet above the ground. The employee then climbed the ladder with a paint roller in his hand and was standing on the ladder approximately eleven feet above the ground. The employee was using the paint roller to paint the facia/roof eve on a two-story single-family residence which had been damaged by a hurricane. The employee was using a ladder owned by the homeowner which he found at the rear of the property. The ladder was missing the feet and the employee had set it up with the ladder base six feet from the base of the building in violation of the 4:1 rule. The employee also rested the ladder on a painted concrete surface which reduced the coefficient of friction of the concrete. The ladder slipped out from under the employee causing him to fall to the concrete ground below. The employee died from severe head injuries.",High,Falls,"blunt force, blunt force trauma, concrete, defect, defective"
"At 10:40 a.m. on July 29, 2022, an employee working for a framing contractor was securing roof trusses onto the roof of a three-story apartment complex that was under construction. The employee fell to the concrete below and striking his head on a wooden beam. The employee died from multiple blunt force trauma to his head, arms, back, chest and legs.",High,Falls,"arm, back, beam, blunt force, blunt force trauma"
"At 1:00 p.m. on September 26, 2022, an employee who worked for the federal government was operating a walk behind concrete saw. The employee was cutting through the concrete floor of a building structure when a suspended slab of concrete broke into several pieces. As a result, the employee fell 10 feet through the opening created in the floor and was killed.",High,Falls,"chest, concrete, concrete floor, concrete slab, construction"
"On March 12, 2023, an employee working for a concrete construction company was operating a hydraulic push pier system to raise a residential home foundation. One corner of the foundation had settled, and the company was tasked with raising it back up using the hydraulic system. The employee had dug several trenches alongside the foundation and was attempting to install the first push pier into the ground in one trench. The trench he was working in was 7.5 feet deep. The bottom bracket of the push pier was not installed per the manufacturer's instructions. The bracket should have been flush against the bottom corner of the base of the foundation. Instead, it was placed 6 inches away from the foundation wall. This allowed the top of the push pier bracket to pivot towards the wall. As the employee applied hydraulic pressure to the hydraulic ram the shear bolt broke. This caused part of the push pier to fly off and strike the employee in the head. The employee sustained a fractured skull and brain bleed and died in hospital.",Medium,Caught In Between,"abrasion, concrete, construction, contusion, engineering controls"
"At 5:20 p.m. on March 23, 2023, an employee, not utilizing fall protection, fell from the third story level of new home construction, while in the process of standing an exterior wall. The employee fell onto crushed rock on the ground. The employee was killed.",High,Falls,"fall, fall from elevation, fall protection, residential construction, wall"
"At 2:00 p.m. on September 10, 2022, an employee was installing plywood above metal ceiling beams. The employee fell and was killed by blunt force trauma to the head.",High,Other/Unspecified,"blunt force, blunt force trauma, ceiling, construction, fall"
"At 2:50 p.m. on September 6, 2022, an employee was working from a ladder while installing interior walls, ceilings and doors for a multifamily residential construction project. The employee fell an unknown distance from a ladder while patching a sheetrock hole in the ceiling. The employee was killed by a traumatic brain injury incurred when his head struck against the ground.",High,Falls,"blunt force, blunt force trauma, brain, construction, fall"
"At 5:00 p.m. on June 23, 2022, an employee was working from a scaffold assisting a mason by ensuring he had the necessary materials to build a 25-foot concrete block wall. The employee fell from the scaffold through a gap in the wall and incurred blunt force trauma to his head and neck. The employee died from impact with the foundation concrete slab below. In the central area of the wall, there was an unprotected opening that measured approximately 12-foot wide by 12-foot 5-inches high. This created a gap of approximately 28-inches that was not guarded as the employee traversed the opening in the wall.",High,Falls,"abrasion, blunt force, blunt force trauma, concrete slab, construction"
"At 9:35 a.m. on March 7, 2023, an employee working for commercial and industrial building contractor was rigging an item to a tower crane. The employee fell four stories into an elevator shaft and the item being rigged fell on top of her. The employee died of blunt force trauma.",High,Struck By Object,"blunt force, blunt force trauma, building, caught between, construction"
"At 10:52 a.m. on May 9, 2023, an employee was working as an installer for a residential and commercial heating & air conditioning company that has been in business for over fifteen years. The employee was working with a crew that was finishing up at a new residential construction site by installing gutter spouts. The employee was installing downspouts into the gutters by drilling holes to place the downspouts. The employee was working from a ladder using sheet metal snips, repositioning his feet on the ladder to reach each position. The employee overreached and lost his footing causing him to fall 4 feet and land on the concrete driveway. The employee struck his head on the driveway. He had labored breathing and blood started coming from his nose and ears. Emergency medical services were called but he had died at the scene and was transferred to the coroner.",High,Falls,"bleeding, blunt force, blunt force trauma, breathing, building"
"At 1:00 p.m. on July 25, 2024, an employee working for a mechanical contractor removed his lock from an electric circuit isolator after installing a new compressor. The employee stood approximately 10 to 12 feet away to observe the startup operation. The main 2-1/4"" inches compressor discharge pipe failed and blew off as the compressor started up and struck the employee in the head. The employee died from head trauma.",High,Electrocution,"blunt force, blunt force trauma, compressed air, compressor, construction"
"At 5:00 p.m. on September 18, 2023, an employee working as an HVAC technician for a HVAC contractor was troubleshooting a furnace installation. The employee was working on low voltage part of the system but was electrocuted and died.",High,Electrocution,"commercial building, construction, electric shock, electrical wire, electrocuted"
"At 2:15 p.m. on November 28, 2023, Employee #1 was working for a highway/street construction contractor. Employee #1 contacted an asphalt paving dump truck while the bed was lifted and hit a powerline. Employee #1 suffered a fatality from electrocution.",High,Electrocution,"asphalt, construction vehicle, contact, dump truck, dump truck bed"
"At 9:28 a.m. on September 10, 2023, an employee working as a power line worker for an electrical contractor had climbed up a wooden pole using a combination of a ladder and climbing spurs. Once on top, the employee covered the electrically charged wires with electric blankets and began to change out an existing cutout underground riser switch. The employee grabbed the upper piece of the riser and was attempting to connect the lower portion of the riser. The employee removed the electrical blanket from the riser to better feel the cable while he attempted to crimp the connection. At some point during this operation, the employee contacted the upper riser with his right shoulder and was electrocuted. The wiring was rated at 7,620 volts, which entered the employee's right scapula and exited his left medial thigh causing extensive burns around the neck and back as well as the left thigh. His left thigh was torn apart and the skin was ripped open approximately 6 to 8 inches. The employee died from his injuries.",High,Electrocution,"back, clothing, construction, contact, cutout switch"
"On August 1, 2023, Employee #1 and a coworker were working at a two-story residential home under construction. Employee #1 was working on the roof of the structure, at a height of approximately 20 feet, installing weatherproof paper sheets. The coworker was working on the interior of the structure on the second floor. At approximately 4:30 p.m., Employee #1 fell from a height of approximately 20 feet to the ground while not utilizing fall protection and was killed. According to the North Carolina Department of Health and Human Services Office of the Chief Medical Examiner's report, Employee #1 sustained both internal and external injuries to the head, face, and extremities. Probable cause of death was ruled to be blunt force head injuries.",High,Falls,"blunt force, face, fall, fall from elevation, fall protection"
"At 9:00 a.m. on August 25, 2023, an employee, a 25-year-old Spanish speaking male construction laborer, was preparing and staging areas of the facility roof in preparation for demolition and replacement of metal roofing areas. This included walking along the roof area to deliver and move products and tools. While traversing along a structurally weakened area of the roof, the employee stepped onto and fell through the roof to the ground below. The particular area contained rusted and eroded metal sheet roofing between metal trusses. The height of the fall was approximately 17 feet. The employee sustained internal brain injuries, including swelling and bleeding. The employee was not able to survive the head trauma and ultimately died.",High,Falls,"brain, brain bleed, construction, demolition, fall"
"At 10:20 a.m. on August 19, 2023, workers were cleaning up the gutters of the roof structure and removing leaves. Employee #1 fell approximately 18 feet from a 24-foot extension ladder. Employee #1 was killed due to blunt force torso injuries.",High,Falls,"blunt force, cleaning, construction, extension ladder, fall"
"At 1:45 p.m. on April 1, 2024, an employee working as a construction laborer for a water and sewer line construction contractor was part of a crew assigned to remove a fire hydrant from an open water main valve. The employee was loosening the nuts that secure the connection between the hydrant and the water main isolation valve when. Water under high pressure suddenly discharged from the line and rapidly filled the excavation. The employee was trapped and died due to drowning.",High,Caught In Between,"construction, drown, drowning, excavation, fire"
"At 3:50 p.m. on August 8, 2024, an employee working as a painter for a painting contractor was working on a crew assigned to perform work at a residential condominium. The crew was tasked with scraping paint, applying masking materials, or applying paint to the building. An employer provided boom supported aerial work platform was removed from the location to be repaired. As a result, the employee was working on the second level roof of the condominium when he fell over 19 feet to concrete steps. Coworkers heard a noise and realized the employee had fallen so they called 911. Emergency services responded and transported the employee via a life flight to the medical center, where he later died.",High,Falls,"aerial lift, blunt force, blunt force trauma, concrete, concrete surface"
"At 1:12 p.m. on October 28, 2023, an employee was located on the fifth story of the building, unloading material goods (sinks) through a wall opening. The sinks were loaded onto a box approximately 8 feet by 4 feet and lifted to the fifth story wall opening via JCB telehandler (PIN: JCB5C77GPM3007077, Model Number: 508-66TC). The box was assembled by employees onsite at an earlier date. The JCB telehandler was being operated by a coworker (site superintendent). The employee fell from the fifth story wall opening of the building. The distance from the fifth story wall opening to the ground level was approximately 44 feet. The employee was killed due to blunt force trauma injuries.",High,Falls,"blunt force trauma, construction, fall, fall from elevation, opening"
"On July 20, 2023, an employee working for a framing contractor was working on a scaffold installing siding. The employee was not wearing fall protection when he fell between 18 and 20 feet to the ground below. The employee lacerated his forehead and went in and out of consciousness while being transported to the hospital. The employee died from multiple blunt force trauma, including injuries to his head and chest.",High,Falls,"chest, construction, fall, fall from elevation, fall protection"
