Scenario,Risk_Level,Cause_of_Accident,Keywords,Readability_Score
"It  an employee was troubleshooting the misalignment of cutters on a North-South Theater Machine. While usually inspecting the cutters, the employee placed their right hand in or near the ? inch gap between the frame top and the overhead enclosure. The employee's amputated his fourth finger on their right hand when his hand made contact with the nip point of the drive years.",Medium,Caught in or between caused by Pinch Point Action,"CAUGHT IN, MACHINE GUARDING, NIP POINT, AMPUTATION, FINGER, AMPUTATED, BLADE",
It approximately  Employee was adjusting a sink basin. He grabbed or pushed a grounded copper pipe and contracted a live electrical part. Employee was electrocuted.,High,Shock caused by Electrical Contact/Exposure,"ELECTRICAL, RESIDENTIAL CONSTRUCTION, LOCKOUT/TAGOUT, ELECTROCUTED",
"It  an employee was operating the airport security baggage and passenger screening checkpoint and a set of baggage needed further examination. The employee opened the bag to take a wipe sample and the foot powder that was inside the bag ""puffed out."" The employee suffered eye and skin irritation as well as headache.",Low,Workplace incident caused by Hazardous Work Condition,"POWDER, EYE, HEADACHE, SKIN",
It approximately  an employee was climbing down a fixed ladder after fixing a roof leak. The employee fell from the ladder and broke his ankle. The employee was not hospitalized.,Medium,"Fall (from elevation) caused by Misjudgment, Hazardous Situation","ANKLE, FRACTURE, FALL, LADDER, ROOF",
"It approximately  Employee, a high school swimming coach, complained of not feeling well and collapsed and died from a heart attack.",High,Card-vascular/resp. fail. caused by Medical Emergency,HEART ATTACK,
"It approximately  a pedestrian sat on a side walk next to a trench box, 10 foot by 10 foot, weighing approximately 4,000 pounds. He had been warned earlier to stay out of the area. In excavation knocked over the trench box which crushed and killed the pedestrian.",High,Struck-by caused by Materials Handling Equip./Method,"STRUCK BY, EXCAVATION, CRUSHED, TRENCH BOX",
It approximately  Employee was pulling copper wire for recalling and he came in contact with a live high voltage wire. Employee was electrocuted.,High,Shock caused by Electrical Contact/Exposure,"CONFINED SPACE, ELECTRICAL, DEMOLITION, ELECTROCUTED, POWER LINES, LOCKOUT/TAGOUT",
It approximately  an employee was setting up bracket scaffolding at a new residential construction site. The employer was engaged in residential new home framing. The employee was on the fifth floor when he lost his footing and fell to the surrounding ground. The employee was not wearing fall protection when he was setting up the bracket scaffolding. The employee suffered from multiple fractures. The employee was hospitalized for greater than 24 hours as a result of the accident.,Medium,Fall (from elevation) caused by Work-Surface/Facility-Layout Condition,"FALL, SCAFFOLD, FRACTURE, FALL PROTECTION",
"It approximately  Employee, a heavy equipment mechanics, was test driving an 8515 See Boy conveyed paper machine in the yard of the machine shop. He was struck by and run over by the paper and died.",High,Struck-by caused by Pinch Point Action,"CAUGHT IN, STRUCK BY, RUN OVER, RIDING ON EQUIPMENT, CRUSHING",
"It approximately  at 12:45 of, six carpenters were mentally lifting a seven foot by eighteen foot balloon wall on a new residential home when the bottom straps came undone. The wall to fell down on two employees. One employee suffered a fractured vertebra and was taken to hospital by the fire department where he was hospitalized. The other employee suffered minor injuries to the back and shoulder.",Medium,Struck-by caused by Materials Handling Equip./Method,"STRUCK BY, RESIDENTIAL CONSTRUCTION, FRACTURE, FALLING OBJECT, SHOULDER, BACK, VERTEBRA",
"In , Employees head was crushed by the upright of a lowered industrial truck when it tapped over killing him.",High,Caught in or between caused by Overhead Moving/Falling Object Action,"STRUCK BY, ROLL-OVER, INDUSTRIAL TRUCK, HEAD, CRUSHED",
"In , Employees head was crushed by the upright of a lowered industrial truck when it tapped over killing him.",High,Struck against caused by Materials Handling Equip./Method,"CRUSHING, HEAD, MATERIAL HANDLING, ROLL-OVER, INDUSTRIAL TRUCK, STRUCK BY",
It approximately  an employee was cutting a portion of the old water main off to prepare to install the new main. The east wall of the trench collapsed in. The employee fractured his hip and was hospitalized. The collapse was attributed to lack of showing or inadequate sloping/reaching efforts and close proximity to road and rail traffic.,Medium,"Caught in or between caused by Misjudgment, Hazardous Situation","TRENCH, HIP, CAUGHT IN, FRACTURE, COLLAPSE",
"It approximately  an employee and a worker were asked with installing pressure wages on a steel piping system that contained Green Liquor inside a building. The Green Liquor was a corrosive liquid and was operating at a temperature of 180 to 200 degrees F and under a pressure of 60 to 80 si in the piping system. In the morning of the event, the host company held a safety bringing with the both workers along with their foreman. The workers were informed that the pipes would be energies (Green Liquor running through it) and that they would have to perform a hot tap (drilling a hole into the pipe) while liquid continued to flow through the piping system. The workers were also informed about the personal protective equipment (PPE) requirement to perform the task. Some of the PPE the workers were required to wear was a chemical suit along with a face shield for face protection. After drilling the pilot hole into the pipe, the employee began pulling the drill bit out of the counting and the cut off ball valve. The worker was standing by the cut off ball valve waiting to turn the valve off when the drill bit cleared the cut off ball valve. When the shaft of the drill bit got to where the workers thought that the drill bit should be cleared, the worker attempted to close the valve, but could not. The employee kept pulling the drill bit out while the worker continued to try and close the valve. The employee eventually pulled the shaft (with the drill bit missing) out of the valve and packing device of the hot tap tool. When the shaft of the drill came out of the packing device, Green Liquor sprayed on to the employee. The employee received chemical burns and or thermal burns to his arms and stomach area for which he was hospitalized.",Medium,Struck-by caused by Chemical Action/Reaction Expos,"STRUCK BY, BURN, FLOWING MATERIAL, PRESSURE PIPING, DRILL, ARM, ABDOMEN",
It  an employee was loading a flashed trailer and lifted a steel beam using a crane hook. The employee caught their thumb tip on their left hand when the beam slipped off the hook and amputated his thumb.,Medium,Caught in or between caused by Pinch Point Action,"STEEL BEAM, THUMB, AMPUTATED, FLATBED TRUCK, AMPUTATION, CRANE HOOK",
It  an employee was loading a printing press with a laser fetched printing plate. The employee had their hand caught between the tollers when they advanced. The employee suffered multiple injuries to their hand to include four fingers being crushed and a large laceration to the palm where printing ink seemed into the wound.,Low,Caught in or between caused by Catch Point/Puncture Action,"CAUGHT IN, CRUSHED, FINGER, PAPER MACHINE, LACERATION, MACHINE GUARDING",
"It  an employee was loading a large log into the wood shipper using a inch pointing unit. The employee rested their right hand between the wince cable and its frame when a worker lowered up the inch and the cable tightened around the log, pitching the employee's fingers. The employee amputated 3 fingers from their right hand.",Medium,Caught in or between caused by Materials Handling Equip./Method,"CRUSHING, AMPUTATION, FINGER, HOIST, CHIPPER, AMPUTATED",
It approximately  an employee was doing plunging work on a gas line in the South West area of the building using a 8 ft. finer glass ladder using a french to tighten a piece of pipe. The employee missed a rung while climbing down the ladder. He was approximately 6 to feet in the air when he missed the rung and fell. The employee was hospitalized and treated for a fractured right ankle.,Medium,"Fall (from elevation) caused by Misjudgment, Hazardous Situation","ANKLE, FRACTURE, LADDER, FALL",
It  an employee was operating a POLARIS 400 cart. The employee was ejected from the cart when it was struck by a forklift. The employee suffered several fractures and a pinched nerve.,Medium,Struck-by caused by Mobile Equipment Operation,"STRUCK BY, FRACTURE, POWERED INDUSTRIAL VEHICLE, MOTOR VEHICLE, EJECTED",
It  an employee was cutting a piece of dura block rubber with a chop saw. The employee was removing a piece from the saw blade and accidentally turned the saw on. The employee caught their finger with the blade and lacerated it.,Low,Caught in or between caused by Pinch Point Action,"CAUGHT IN, TABLE SAW, BLADE, MATERIAL HANDLING, LACERATION, FINGER",
"It  an employee was operating a custom-made vise (Mechanical Packing Machine) when the two pieces of metal that comprise the vise came together on her right middle and ring fingers, crushing them. The employee amputated the fingertips from both fingers.",Medium,Caught in or between caused by Pinch Point Action,"AMPUTATED, FINGER, CAUGHT BETWEEN, CRUSHED",
It approximately  an employee fell from the third step of a ladder and was injured. The employee was hospitalized and treated for specified injuries.,Medium,Fall (from elevation) caused by Overhead Moving/Falling Object Action,"FALL, LADDER",
"It  an employee was getting a roll of shrink wrap off of a worker's forklift when their toes were run over by the forklift, fracturing them.",Medium,Struck-by caused by Materials Handling Equip./Method,"CRUSHING, FRACTURE, POWERED INDUSTRIAL VEHICLE, TOE",
"It  an employee was changing the die in press brake 1182 and the machine cycle, catching their right index finger. The employee's right index finger was amputated.",Medium,Caught in or between caused by Shear Point Action,"AMPUTATED, FINGER, AMPUTATION, CAUGHT BY",
"It  an employee was using an overhead crane to move three bundles of 16 gauge metal plates. The employee was struck by the load when the plates slipped out of one end of the ""man save"" lifting device. The employee suffered multiple injuries to include a broken right forearm and several laceration to both arms.",Medium,Struck-by caused by Materials Handling Equip./Method,"STRUCK BY, FRACTURE, OVERHEAD CRANE, LACERATION, FOREARM, ARM",
"It  an employee was removing the end cap that was located on the front of the temperature control said of a reactor. The employee suffered second degree burns on their left arm, leg, and body when steam and hot water sprang from the end of the pipe.",Medium,Burn caused by Temperature +/- Tolerance Lev.,"PIPE, ARM, HOT WATER, LEG, HEAT, STEAM",
"It approximately  an employee was cleaning equipment. The employee reached under guard to remove debris without deenergizing the machine. The machine cycle, amputating the employees left index finger.",Medium,Caught in or between caused by Pinch Point Action,"CLEANING, LOCKOUT/TAGOUT, AMPUTATION, MACHINE GUARDING, FINGER",
"It approximately  an employee was retrieving a window, while standing in a forklift, from a wooden box loaded on a forklift. After placing his foot on the scissors lift's midrail, the employee excited the lift and placed his other foot inside the wooden box loaded on the forklift. His caused the wooden box to fall and the employee fell to the ground below. The employee was hospitalized and treated for fractures to his wrist, nose and lower back.",Medium,Fall (from elevation) caused by Work-Surface/Facility-Layout Condition,"WRIST, NOSE, POWERED INDUSTRIAL VEHICLE, FRACTURE, BACK, FALL, AERIAL LIFT",
It  an employee was MIG wedding on a drum bolt located on the york of a wood how that was still contaminated by a combustible gear hydraulic fluid residue. The fluid residue burst into flames and the employee received burns on their upper body and chest area.,Medium,Burn caused by Temperature +/- Tolerance Lev.,"BURN, HYDRAULIC FLUID, COMBUSTIBLE LIQUID",
It  an employee was clearing a jam to a conveyed belt system. The employee caught their left hand between two tollers on an overhead conveyed belt system and pulled some skin back from their hand.,Low,Caught in or between caused by Materials Handling Equip./Method,"CAUGHT IN, MACHINE GUARDING, NIP POINT, LOCKOUT/TAGOUT, ROLLER CONVEYOR, ROLLER--MACH/PART, CONVEYOR, SKIN",
It  an employee was cleaning out the back of a pick-up truck bed. The employee landed incorrectly when they attempted to climb out of the truck bed and fell to the ground. The employee fractured their leg from their fall.,Medium,Fall (from elevation) caused by Work-Surface/Facility-Layout Condition,"ACCESS/EGRESS, FALL, LEG, FRACTURE, TRUCK",
"It  an employee was on a step ladder washing windows. The moved to step down and lost her balance, falling backwards. The employee fell to the ground, fractured her hip, and was hospitalized for three days.",Medium,Fall (from elevation) caused by Insufficient /Lack/Written Work Practice Program,"FALL, LADDER, HIP, FRACTURE",
"It approximately  Employee was moving a safety deposit box onto two mentally operated hydraulic lifts. After the box was moved onto the lifts it tapped over onto Employees head, killing him.",High,Caught in or between caused by Materials Handling Equip./Method,"CRUSHING, HEAD, RIGGING, HYDRAULIC JACK, HYDRAULIC LIFT, FALLING OBJECT",
It  an employee was checking a ventilator system when it was not operating properly. The employee shut the ventilator system down and locked the machine. The employee reached into the ventilator hood and his finger struck the blade that was still turning. The employee amputated their right middle finger to the second joint and thumb.,Medium,"Struck against caused by Misjudgment, Hazardous Situation","THUMB, VENTILATION, AMPUTATED, FINGER, LOCKOUT, AMPUTATION, LACERATION, FAN BLADE",
"In , an employee was climbing a ladder from one flat roof to another to service the HVAC system. The employee, while on the ladder, swung his bag of tools up to place on the roof. His motion, caused the ladder feet to slip and he fell to the lower roof. The employee fractured Of vertebrae, for which he was hospitalized and treated.",Medium,"Fall (from elevation) caused by Weather, Earthquake, Etc.","SLIP, VERTEBRA, FRACTURE, LADDER, FALL",
It approximately  Employee was cleaning a mixing tank. The power was turned on and Employee was struck by the agitator and killed.,High,Caught in or between caused by Catch Point/Puncture Action,"STRUCK BY, CONFINED SPACE, LOCKOUT/TAGOUT, CLEANING",
It approximately  Employee was cleaning a mixing tank. The power was turned on and Employee was struck by the agitator and killed.,High,Caught in or between caused by Catch Point/Puncture Action,"CAUGHT IN, CONFINED SPACE, CLEANING, STRUCK BY, LOCKOUT/TAGOUT",
It approximately  Employee was drilling a hole in a natural gas cylinder on top of a bus. The tank rapidly depressurized once the drill bit penetrated the cylinder and Employee was thrown approximately 20 feet off of the bus. Employee was killed.. .,High,Struck-by caused by Overpressure/Underpressure,"PRESSURE RELEASE, FALL, DRILL",
It  an employee was walking away from a worker and fell through a floor opening. The employee suffered several fractured ribs and shoulder.,Medium,Fall (from elevation) caused by Work-Surface/Facility-Layout Condition,"RIB, UNGUARDED FL OPENING, FALL, SHOULDER, FLOOR OPENING, FRACTURE",
"It  an employee was sitting on a step to the unscrambler platform waiting for the equipment to return to normal operations. When the employee attempted to stand up, he placed his hand on or near an unguarded chain pocket assembly. The employee's glove was caught in the assembly and his hand was pulled in. The employee sustained injuries to four of their fingers on the right hand and the middle finger needed to be amputated at the first knuckle.",Medium,Caught in or between caused by Pinch Point Action,"CAUGHT IN, AMPUTATED, CRUSHED, LOCKOUT/TAGOUT, AMPUTATION, MACHINE GUARDING, FINGER",
"It  an employee was stabling a plastic sheet onto a metal frame approximately 9 feet off the ground along the side of a greenhouse structure. While adjusting the ladder, he lost his footing and fell from the ladder. The employee landed on a 4 foot high wooden bench before hitting the pavement.  The employee fractured his back and was transported to hospital by a worker.",Medium,Fall (from elevation) caused by Ladder Failure/Slip,"BACK, FRACTURE, FALL, LADDER",
It approximately  an employee was climbing out of a scissors lift basket. The employee climbed out of the scissors lift before tying off to an anchor point. He fell 22-ft 10-in. through a 76-in. by 48-in. hole in the dealing. The employee was hospitalized and treated for specified injuries.,Medium,Fall (from elevation) caused by Work-Surface/Facility-Layout Condition,"UNGUARDED FL OPENING, AERIAL LIFT, FALL, FALL PROTECTION",
It approximately  an employee was tearing off the roof and slipped. The employee was wearing fall protection and the rope caught the gutter and swung the employee into the stairs. Is a result the employee broke his ankle. The employee was not hospitalized.,Medium,Fall (from elevation) caused by Work-Surface/Facility-Layout Condition,"STAIR, ANKLE, STRUCK AGAINST, FALL, FRACTURE, ROOF, FALL PROTECTION",
It  an employee was checking the tension on a revolving chain and caught their right index finger between the chain and it's pocket. The employee amputated the right index fingertips.,Medium,Caught in or between caused by Pinch Point Action,"CAUGHT IN, CHAIN, FINGER, AMPUTATED, SPROCKET",
It approximately  an employee and crew were laying pipe in east bound casement of of 2252. The employee backed into a roadway and was struck by rear wheels of 18 wheeler truck. The employee was hospitalized and treated for fractured right leg.,Medium,Struck-by caused by Mobile Equipment Operation,"STRUCK BY, HIGHWAY, LEG, CONSTRUCTION",
"It  an employee was carrying a tire to put on a vehicle's hut when they tripped over a jack stand and fell to the floor, breaking their hip.",Medium,Fall (same level) caused by Work-Surface/Facility-Layout Condition,"TIRE, HYDRAULIC LIFT, JACK, FRACTURE, MOTOR VEHICLE, HIP, TRIPPED",
"It  an employee was arranging some equipment and materials on a flashed truck. The employee's feet became tangled in their fall protection and they lost their balance, falling approximately 4 feet to the ground. The employee suffered a broken leg when they hit the ground.",Medium,Fall (from elevation) caused by Materials Handling Equip./Method,"PPE, LEG, OIL WELL DRILLING/SERVICING, FALL, FRACTURE",
"It  an employee was squatting at a job site near the shaft. The employee reach out to steady themselves as the employee stood. However, they grabbed onto a running shaft and the employee suffered finger trauma as well as amputating a fingertips.",Medium,Caught in or between caused by Catch Point/Puncture Action,"ROTATING PARTS, AMPUTATED, ROTATING SHAFT, FINGER, AMPUTATION",
It  an employee was resembling a CNC woodworking machine and was placing the sacrificing board back. The employee pinched his finger between the board and the table when a worker turned on the vacuum and the board was pulled down on top of his finger. The employee amputated the tip of their finger.,Medium,Caught in or between caused by Pinch Point Action,"VACUUM VESSEL, AMPUTATED, WOOD SHAPER, LOCKOUT/TAGOUT, FINGER",
It  an employee was learning to drive a motorized pallet jack. The employee smashed their foot while operating the pallet jack. To other specific regarding the accident were included in the initial report.,Medium,"Struck against caused by Misjudgment, Hazardous Situation","CRUSHED, INDUSTRIAL TRUCK, MATERIAL HANDLING, FOOT",
"It  an employee was cleaning a valve on a filler. The employee stuck their finger into the valve to clean it. The employee released the button used to keep the valve open and it closed, amputating the right index fingertips.",Medium,Caught in or between caused by Pinch Point Action,"CAUGHT IN, AMPUTATION, FINGER, VALVE, AMPUTATED",
It approximately  Employee was standing on the step of a forklift being operated by a worker. The worker was placing a cage inside of a chicken house and was backing up. Employee fell or stepped off of the forklift and was struck by the forklift. Employee was killed.,High,Struck-by caused by Materials Handling Equip./Method,"STRUCK BY, POWERED INDUSTRIAL VEHICLE",
It approximately  an employee was helping to remove 16 foot 2 by 4 from a shelf in the yard with a forklift. While straggling the forks of a forklift loaded with wood 2 by 4. The employee's left pink finger was amputated. The employee was hospitalized and treated for his injuries.,Medium,Caught in or between caused by Pinch Point Action,"CAUGHT IN, RIDING ON EQUIPMENT, AMPUTATED, POWERED INDUSTRIAL VEHICLE",
It approximately  Employee was trying to plug a cause used to load screened corn into a grain trailer. He fell or was pulled into the loading cause and died of suffocation.,High,Fall (from elevation) caused by Work-Surface/Facility-Layout Condition,"ASPHYXIATED, FALL, GRAIN ELEVATOR",
It approximately  an employee was working on an elevator shaft landing. He picked up a 6 by 6 post and dropped it. The post broke and fell through the landing. The employee fell 9 feet through the first landing then 10 feet through the next landing. The employee was hospitalized and treated for two fractured ribs.,Medium,Fall (from elevation) caused by Work-Surface/Facility-Layout Condition,"RIB, FALL, ELEVATOR SHAFT, FRACTURE",
It  an employee was troubleshooting the new Same much packing line with the guards off. The employee reached into the running machine to pull out a stuck bag of much and his finger was pulled in between the tollers of the machine. The employee amputated the tip of their left index finger.,Medium,Caught in or between caused by Pinch Point Action,"ROLLER--MACH/PART, FINGER, LOCKOUT/TAGOUT, AMPUTATED, AMPUTATION",
It approximately  an employee was drilling holes on the concrete wall of the Filter Bank Number 4 (approximate dimensions of 34-ft-Length by 29-ft-Width by 15-ft-Depth) located outdoor. The employee fainted and fell the same level. The employee was found unconscious with the head injury and haematoma above left eye. The employee was hospitalized.,Low,Fall (from elevation) caused by Work-Surface/Facility-Layout Condition,"UNCONSCIOUSNESS, FAINTED, FALL, CONFINED SPACE, DRILL",
"It  an employee was removing burns from manufactured steel. The employee and a worker were lifting a piece of steel and the lifting device slipped from the steel, pitching the employee's finger. The employee amputated their finger.",Medium,Caught in or between caused by Overhead Moving/Falling Object Action,"AMPUTATED, FINGER, AMPUTATION, FALLING OBJECT",
It  an employee was feeding the plates and boards into the single head planter when the wood created a jam. The employee lowered the table down but did not shut off power to the machine or lock the machine before reaching her right hand into the machine to clear the jam. The employee partially amputated her right middle and ring fingers when they struck the single head planter blades.,Medium,Caught in or between caused by Pinch Point Action,"PLANING MACHINE, STRUCK BY, CAUGHT IN, AMPUTATED, FINGER, MACHINE GUARDING, AMPUTATION, LOCKOUT/TAGOUT, BLADE",
"It  an employee was pulling a tire from a wheel assembly using a Coats 5060 Him Lamp Fire Changes, along with some standard tire changing hand tools. He had placed the wheel on the table top of the Fire Changes securing it using a pedal-operated clamp. After securing the wheel, the employee inserted a bead-lifting tool to lift the tire bead up and over the knob portion of the remount head to begin mounting the tire. The employees glove and right hand were caught in between the tire and the mounting tool. The wheel continued to rotate and pulled the employees hand, crushing it and amputating their right thumb.",Medium,Caught in or between caused by Catch Point/Puncture Action,"THUMB, AMPUTATED, AMPUTATION, FINGER, TIRE BEAD",
It  an employee pushed on the end of the paper roll shaft with expired core to slide one end into a new paper roll and remove the expired core off the other end near his hands. The employee pinched one of their fingers be between the edges of the expired core and a cut-out in the metal shaft when the expired core broke free from the shaft and slide freely towards the employee's hand. The employee amputated the tip of their right middle finger and fractured the same finger.,Medium,Caught in or between caused by Pinch Point Action,"AMPUTATED, AMPUTATION, FRACTURE, FINGER",
"It  an employee was clearing several jammed nails from inside the Injection Folded Elastic Collator Machine, M/N: of-160. The employee removed the circular guard and reached into the plastic strip collar with her right arm, to clear the jammed nails when the machine started up unexpectedly and her right arm was caught in the orientation wheel. The employee suffered several laceration and sustained a fracture that required surgery.",Low,Caught in or between caused by Catch Point/Puncture Action,"CAUGHT IN, MACHINE GUARDING, LACERATION, LOCKOUT/TAGOUT, ARM, FRACTURE",
It  an employee was cutting ribeye with a bone-in meat bands and amputated his left ring fingertips when it touched the blade.,Medium,Cut/laceration caused by Sharp Object/Tool,"AMPUTATED, MEAT SLICING MACHINE, BANDSAW, FINGER, AMPUTATION",
It  an employee was holding a those that was being replaced by a worker. The employee was sprayed with chlorine liquid as a worker screwed a transfer those. The employee suffered chemical burns from the chlorine liquid.,Medium,Inhalation caused by Chemical Action/Reaction Expos,"BURN, CHEMICAL BURN, CHLORINE",
It approximately  Employee was assisting with covering a barge when the cover shifted and startled him. He ducked and moved away from the cover and stepped or attempted to jump to the barge next to him. He fell approximately 10 feet into the river and the current pulled him under the barge. Employee re-surface approximately 10 minutes later. Employee drowned.,High,Fall (from elevation) caused by Work-Surface/Facility-Layout Condition,"BARGE, FALL, JUMP ON MOVING EQUIP, DROWNING",
It  an employee was clearing a jam within the stamping machine. The employee's finger was pinched by the stamping machine when it cycle and amputated their fingertips.,Medium,Caught in or between caused by Pinch Point Action,"CAUGHT IN, AMPUTATED, LOCKOUT/TAGOUT, AMPUTATION, MACHINE GUARDING, FINGER",
It  an employee was operating a Met Drill Dress. The employee reached across the drill and caught their right middle finger on the drill bit. The employee amputated their middle finger.,Medium,Caught in or between caused by Pinch Point Action,"AMPUTATED, DRILL, CAUGHT BY, FINGER, AMPUTATION",
It  an employee was twitching out the collect for the spindle on the HAAS of-10 machine to a smaller diameter collect. A worker started the machine and the employee looked to the rear of the machine and noticed that the aluminium bar stock was sobbing. The bar stock snapped and swung vertically at approximately 800 revolutions per minute (RPM) where it hit the employees left arm and hand. The employee suffered a large laceration and shattered bone within their thumb.,Low,Struck-by caused by Materials Handling Equip./Method,"PIPE, THUMB, FRACTURE, STRUCK BY, LATHE",
It  an employee was walking in an aisle of the shoe department and tripped over a carbon of shoes. The employee fractured their femur when they fell to the floor.,Medium,Fall (from elevation) caused by Work-Surface/Facility-Layout Condition,"TRIPPED, FRACTURE, LEG, HIP",
It  an employee was finishing work for the evening and was assisting a worker to cover a telecommunication trench with trench plates. The employee placed a hand underneath the trench plate and fractured his left ring fingertips. The employee was not hospitalized.,Medium,Caught in or between caused by Pinch Point Action,"TRENCH, CAUGHT BETWEEN, FRACTURE, FINGER, TELECOM WORK",
It  an employee was operating a Soft El of-SG10 Encapsulation Machine that was stationed in the encapsulation room. The employee finished changing out the dye rolls to the encapsulation machine and was adding the shall/gelatin to the tollers to produce a new batch of pills when he noticed the liquid spreading out from the machine. The employee reached into the machine and caught their small finger between a rotating roller and a fixed side of the machine. The employee amputated the tip of their pink finger from their left hand.,Medium,Caught in or between caused by Pinch Point Action,"CAUGHT IN, AMPUTATION, MACHINE GUARDING, ROLLER--MACH/PART, AMPUTATED, FINGER",
"It approximately  an employee was looking over the brick wall on his tipsy toes and his hands on top of the wall.	The brick wall fell on top of the employee, tapping him against a tree. The employee suffered from broken left jaw, fracture of sinus and left eye socket. The employee was hospitalized and treated for his injuries.",Medium,Struck-by caused by Overhead Moving/Falling Object Action,"STRUCK BY, BRICK, CAUGHT BETWEEN, WALL, FALLING OBJECT, FRACTURE, MOUTH, EYE",
"It  and employee was changing out a machine. The employee lifted the door and realized that he missed a step in the procedure and let the door go before it was locked in the ""up"" position. The door came down on the employee's hand and amputated the tip of their ring finger.",Medium,Struck-by caused by Materials Handling Equip./Method,"STRUCK BY, CAUGHT BY, AMPUTATION, FINGER, AMPUTATED",
"It  an employee was cleaning wood shaving and dust from a planter with a blow gun while it was running. The employee mangled their left hand and amputated two fingers when the blow gun was caught by the planter , which pulled the employee's hand into its blades.",Low,Caught in or between caused by Shear Point Action,"AMPUTATED, BLADE, FINGER, AMPUTATION, HAND, CAUGHT BY",
It  an employee was cleaning a rotary valve cart used to transfer finished pellets to train carts for shipment. He lacerated his right hand's middle and ring fingers when they hit the valve lane blades.,Low,Caught in or between caused by Pinch Point Action,"BLADE, LOCKOUT/TAGOUT, AMPUTATION, LACERATION, FINGER, CAUGHT BY",
"In , Employee was found responsive at the bottom of a flight of stairs. The was transported to a hospital and died the following day from cerebral injuries.",High,Fall (from elevation) caused by Work-Surface/Facility-Layout Condition,"STAIR, FALL, STRUCK AGAINST, HEAD",
It  an employee was cleaning underneath a loom. The employee reached in with their right hand into a cabinet/gearbox to remove june while the loom was off. A worker started the loom and caught the employee's hand in the gearbox/cabinet. The employee suffered a broken arm.,Low,Caught in or between caused by Pinch Point Action,"CAUGHT IN, FRACTURE, GEAR, ARM",
It  an employee was operating a table saw. The employee's finger was pulled into the saw blade by material being cut and amputated their right hand ring finger.,Medium,Struck-by caused by Safety Devices Removed/Inoperable,"STRUCK BY, BLADE, MACHINE GUARDING, AMPUTATION, FINGER, AMPUTATED, SAW, TABLE SAW",
"In , an employee was working on the roof, carrying looking panel. The employee unhooked his innyard and was blown off the roof by a gust of wind and fell to the ground on a concrete surface. The employee suffered from fractured skull, concussion and other broken bones and was hospitalized.",Medium,"Fall (from elevation) caused by Weather, Earthquake, Etc.","SKULL, FRACTURE, CONCUSSION, FALL, FALL PROTECTION",
"It  an employee was packing boxes on the line 11 in the ""pack out"" area. The employee walked up to the window between production and packing and dropped his pen. The employee leaned down to pick it up and his right hand was near the unguarded running conveyed. The employee's arm was caught in the conveyed and he fractured his arm.",Medium,Caught in or between caused by Pinch Point Action,"CAUGHT IN, CONVEYOR, MACHINE GUARDING, FRACTURE, ARM",
"It  an employee was putting frames into a 15 ton mechanical press brake. The employee cycle the press brake and caught the tip of her right middle finger, amputating it.",Medium,Caught in or between caused by Pinch Point Action,"CRUSHING, PRESS BRAKE, AMPUTATION, FINGER, AMPUTATED",
It  an employee was reaching into the discharge area of a dust collector attached to a Yuri Older. The employee amputated the tip of their right index finger when it came into contact with the rotary lock valve.,Medium,Struck-by caused by Shear Point Action,"AMPUTATED, DUST COLLECTOR, FINGER, MOLDING MACHINE, AMPUTATION",
It  an employee was backing up into a warehouse rack and was caught between the rack and stand-up forklift. The employee suffered trauma to their chest.,Medium,Caught in or between caused by Materials Handling Equip./Method,"STORAGE RACK, WAREHOUSE, POWERED INDUSTRIAL VEHICLE, CHEST",
It  an employee was working as a maintenance man and was changing light bulb in the facility's ceiling. The employee was standing on a wooden job built scaffold work platform placed on the forks of a Mitsubishi Model FCC30 profane lowered forklift and fell 12 to 14 feet to the ground. The employee suffered fractured wrists and bruised ribs. The employee was hospitalized for 3 days.,Low,Fall (from elevation) caused by Work-Surface/Facility-Layout Condition,"RIB, FRACTURE, POWERED INDUSTRIAL VEHICLE, FALL, WRIST, ELEVATED WORK PLATFORM",
"It approximately  an employee was installing metal roof sheet on the ridge section of new metal roof. The employee saw two workers on the other side of the ridge that ducked down to avoid being hit by some skylight sheets that went flying with a wind gust and the employee stated that he disconnected from his self-intractable innyard to move faster toward his workers to assist them when another wind gust blew a roof sheet towards him and knocked the employee over the edge falling 27 feet to the hard ground. He suffered from fractures to the skull, ribs, shoulder, and foot and punctured lung. The employee was hospitalized and treated for his injuries.",Medium,"Fall (from elevation) caused by Weather, Earthquake, Etc.","PUNCTURE, FALL, FLYING OBJECT, FRACTURE, LUNG, ROOF, LANYARD, FOOT, FALL PROTECTION, SHOULDER, RIB",
It  an employee was lifting a peanuts dump cart frame over an able that was to be attached during the manufacturing process. The employee was using two 2-ton floor-operated cranks in conjunction with two steel chain sings to perform the lifting task. During the lifting process the front end of the frame came detached allowing the frame to fall to the floor. The rear of the frame landed on the able creating a gap between part of the bottom of the frame and floor. The employee tripped and was pinned between the bottom of the frame and floor. The employee suffered a broken hip and a fractured T12 vertebrae.,Medium,Caught in or between caused by Flying Object Action,"PINNED, STRUCK BY, FRACTURE, BACK",
