Obs,TYPE,RECORDID,STATE,AGE,GENDER,RACE,FB,OCCUP,NOI,POB,SOI,EOE,ACTIVITY,LOCATION,INDUSTRY,ES,TEIB,SIZE,TotTime,NOWOIS,NOWIIE,OWNER,WSE,EWAOH,SI,WSP,PJT,AFS,Training,INJURY_DATE,INJURY_MONTH,INJURY_YEAR,Fall_Feet,PFAS_Rec,Region,fall,R11,R12,R13,R14,R15,R16,R19,R21,R22,R23,R24,R25,R29,R31,R32,R33,R34,R35,R39,R41,R42,R43,R44,R45,R46,R47,R48,R49,R51,R52,R59,R999,PPE,PFASR,Equipment,Organizational,Violations,Occupation_Mapped,Nature of Injury_Mapped,Part of Body_Mapped,Source of Injury_Mapped,Work Activity_Mapped,Industry Type_Mapped
186,S,1991NJ013,NJ,26,1,7,3,579,93,5,4415,313,349,69,1721,1,80.00,72,51.50,5,1,6,1,1,3,3,3,3,2,10,8,1991,.,.,Northeast,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,Forklift Operator,Seizure,Toe,Vehicle,Other Transport,Wholesale
187,S,1991NJ017,NJ,49,1,7,3,567,94,8,623,113,312,10,1761,2,12.00,3,4383.00,3,0,6,3,3,3,2,3,3,2,24,9,1991,22,0,Northeast,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,Molder,Other,Multiple Parts,Gas,Clerical,Education
188,S,1991NJ018,NJ,56,1,7,1,567,68,11,6221,1121,594,14,1521,1,5.00,3,91.50,3,0,6,2,3,3,3,3,3,1,10,10,1991,19,0,Northeast,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1,1,2,Molder,Internal Injury,Shoulder,Gas,Law Enforcement,Construction
189,S,1991WI008,WI,70,1,1,3,554,61,11,6221,113,611,47,8661,4,.,.,.,6,0,6,2,3,3,3,3,3,1,17,10,1991,3,0,Midwest,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,Janitor,Crushing,Shoulder,Gas,Education,Public Admin
190,I,1992-01,VA,.,1,7,3,577,93,5,4415,313,312,47,1731,1,46.00,2100,213.50,3,0,6,1,3,3,1,3,3,1,17,9,1991,.,.,South,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Warehouse Worker,Seizure,Toe,Vehicle,Clerical,Food Service
191,I,1992-03,VA,21,1,7,3,866,68,18,6221,1151,313,47,1761,1,81.00,80,21.00,5,0,6,2,1,3,1,1,2,1,2,10,1991,22,0,South,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Program Coordinator,Internal Injury,Hand,Gas,Data Entry,Education
192,I,1992-04,IN,28,1,7,3,597,60,10,626,117,594,65,1791,1,3.00,85,730.50,5,0,6,2,3,2,2,3,3,1,10,9,1991,19,1,Midwest,1,2,2,2,1,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,2,Data Entry Clerk,Amputation,Neck,Steam,Law Enforcement,Insurance
193,I,1992-05,IN,31,1,7,3,579,80,8,623,117,619,98,1721,1,.,.,91.50,8,0,6,1,3,3,1,3,3,2,23,9,1991,80,1,Midwest,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,2,Forklift Operator,Concussion,Multiple Parts,Gas,Other Education,Wholesale
194,I,1992-06,SC,19,1,7,3,595,93,5,4411,312,632,47,1761,1,18.00,7,91.50,6,0,6,3,1,2,2,1,3,1,30,9,1991,.,.,South,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,Administrative Assistant,Seizure,Toe,Machine,Serving,Education
195,I,1992-19,SC,30,1,7,3,869,60,10,8259,421,113,65,1611,1,40.00,60,730.50,.,0,6,2,3,3,1,1,2,1,22,5,1992,.,.,South,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Manager,Amputation,Neck,Other Building,Demolition,Manufacturing
196,I,1992-20,SC,46,1,7,3,555,93,5,4411,312,330,48,1731,1,10.00,20,1917.75,4,0,6,3,3,3,1,3,2,1,16,5,1992,.,.,South,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,Custodian,Seizure,Toe,Machine,Other Office,Food Service
197,I,1992-24,SC,21,1,7,3,866,93,5,4415,313,520,10,1761,3,27.00,7,730.50,6,1,6,3,3,3,2,3,3,1,24,6,1992,.,.,South,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,Program Coordinator,Seizure,Toe,Vehicle,Surgery,Education
198,I,1992-27,VA,21,1,7,3,579,93,5,4415,313,594,10,1721,1,13.00,4,2.00,4,0,6,3,3,3,2,2,2,1,9,7,1992,.,.,South,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,Forklift Operator,Seizure,Toe,Vehicle,Law Enforcement,Wholesale
199,I,1992-30,VA,34,1,7,3,576,93,5,4415,313,312,62,1731,1,35.00,500,548.25,2,0,6,1,3,3,1,1,2,2,21,5,1992,.,.,South,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,Packager,Seizure,Toe,Vehicle,Clerical,Food Service
200,I,1992-36,VA,35,1,7,3,866,60,10,6221,1121,510,14,1521,1,6.00,5,2.00,4,0,6,3,3,3,1,3,3,1,3,9,1992,8,0,South,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Program Coordinator,Amputation,Neck,Gas,Nursing,Construction
201,I,1992-37,VA,28,1,7,3,595,68,13,439,21,540,47,1761,1,14.00,15,.,6,0,6,3,3,3,1,1,2,2,4,9,1992,.,.,South,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,2,Administrative Assistant,Internal Injury,Arm,Scaffold,Pharmacy,Education
202,I,1992-40,VA,52,1,7,3,855,94,220,3252,4232,114,14,1611,1,3.00,6,.,2,0,6,3,3,3,2,1,2,1,4,9,1992,.,.,South,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,1,2,1,2,Therapist,Other,Torso,Panel,Excavation,Manufacturing
203,S,1992AK011,AK,41,1,7,3,597,60,10,6221,117,633,47,7538,1,12.00,.,.,3,0,6,2,3,3,2,2,3,1,12,10,1991,18,1,West,1,1,2,2,1,2,1,2,1,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2,Data Entry Clerk,Amputation,Neck,Gas,Cleaning,Therapy
204,S,1992AK013,AK,49,1,7,3,855,86,8,3212,24,114,47,1611,1,4.00,60,.,.,0,6,3,1,3,1,3,3,1,1,2,1992,.,.,West,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,Therapist,Poisoning,Multiple Parts,Saw,Excavation,Manufacturing
205,S,1992CA006,CA,26,1,3,3,869,93,5,4415,313,520,47,1751,1,7.00,.,61.00,4,0,6,3,3,3,3,3,3,1,12,5,1992,.,.,West,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,Manager,Seizure,Toe,Vehicle,Surgery,Healthcare
206,S,1992CA007,CA,28,1,3,3,869,92,5,9621,381,311,47,1623,1,.,300,.,20,0,6,3,3,3,1,1,3,1,10,6,1992,.,.,West,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,1,2,1,2,2,2,2,1,1,2,1,2,Manager,Stroke,Toe,Other Fatal,Office Work,Packaging
207,S,1992CA008,CA,31,1,1,3,595,93,5,4415,313,634,10,1761,2,.,3,.,3,0,6,2,3,3,3,3,3,1,25,5,1992,.,.,West,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,Administrative Assistant,Seizure,Toe,Vehicle,Other Food,Education
208,S,1992CA010,CA,27,1,3,3,859,94,220,3221,31,215,47,1795,1,.,.,.,3,1,6,3,3,3,1,3,3,1,9,5,1992,.,.,West,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Social Worker,Other,Torso,Hammer,Packaging,Consulting
209,S,1992CA011,CA,27,1,3,3,869,93,5,4411,312,249,75,9999,1,.,.,.,5,0,6,2,3,3,3,2,3,1,6,8,1992,.,.,West,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,Manager,Seizure,Toe,Machine,Other Cleaning,Unknown
210,S,1992CA012,CA,34,1,3,3,595,60,11,624,1154,633,14,1761,1,15.00,6,3.00,6,0,6,2,2,3,1,1,3,1,3,9,1992,9,1,West,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,Administrative Assistant,Amputation,Shoulder,Liquid,Cleaning,Education
211,S,1992CA013,CA,30,1,1,3,585,93,5,4411,312,594,47,9999,1,.,35,4017.75,9,0,6,2,2,3,1,1,2,2,17,8,1992,.,.,West,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,Stock Clerk,Seizure,Toe,Machine,Law Enforcement,Unknown
212,S,1992CO001,CO,.,1,7,3,597,86,8,6221,117,311,47,1791,1,.,60,.,2,0,6,1,3,3,1,2,2,1,.,.,1992,41,1,West,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,Data Entry Clerk,Poisoning,Multiple Parts,Gas,Office Work,Insurance
213,S,1992CO001,CO,.,1,7,3,597,86,8,6221,117,311,47,1791,1,.,60,.,2,0,6,1,3,3,1,2,2,1,.,.,1992,41,1,West,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,Data Entry Clerk,Poisoning,Multiple Parts,Gas,Office Work,Insurance
214,S,1992CO049,CO,.,1,7,3,567,60,10,6221,44,311,14,1751,1,.,3,.,3,0,6,3,3,3,2,2,2,1,.,.,1992,.,.,West,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,Molder,Amputation,Neck,Gas,Office Work,Healthcare
215,S,1992CO065,CO,.,1,7,3,554,68,13,623,1154,311,14,1751,2,.,3,.,3,0,6,2,3,3,2,2,2,1,.,.,1992,18,1,West,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,Janitor,Internal Injury,Arm,Gas,Office Work,Healthcare
216,S,1992MA003,MA,25,1,7,3,554,93,5,4415,313,530,10,1521,2,7.00,4,2556.75,2,1,6,3,1,3,2,2,2,1,30,11,1991,.,.,Northeast,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,2,1,2,2,1,2,2,2,2,1,2,1,1,2,Janitor,Seizure,Toe,Vehicle,Therapy,Construction
217,S,1992MA005,MA,29,1,7,3,554,94,8,623,116,249,14,1521,1,15.00,8,3378.75,5,0,6,2,3,3,2,2,2,1,18,12,1991,19,1,Northeast,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,1,1,1,1,2,Janitor,Other,Multiple Parts,Gas,Other Cleaning,Construction
218,S,1992MA006,MA,28,1,7,3,554,68,13,634,1154,313,14,1761,2,21.00,2,639.75,.,0,6,2,3,3,2,2,2,1,23,1,1992,38,1,Northeast,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,1,1,1,2,Janitor,Internal Injury,Arm,Noise,Data Entry,Education
219,S,1992MA007,MA,70,1,7,3,869,94,220,959,1151,313,47,1795,1,42.00,7,10.00,2,0,6,2,3,3,2,2,2,1,25,3,1992,26,1,Northeast,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,2,Manager,Other,Torso,Fatal Source,Data Entry,Consulting
220,S,1992MA011,MA,61,1,7,3,869,18,10,623,116,613,47,1741,1,3.50,6,17.00,.,0,6,3,3,3,2,3,3,1,24,2,1992,23,1,Northeast,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,Manager,Sprain/Strain,Neck,Gas,Teaching,Accommodation
221,S,1992MA012,MA,32,1,7,3,579,80,8,623,119,229,69,1721,1,9.00,17,.,2,1,6,2,3,3,2,2,2,1,24,6,1992,36,0,Northeast,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,Forklift Operator,Concussion,Multiple Parts,Gas,Other Manufacturing,Wholesale
222,S,1992MA016,MA,21,1,7,3,554,80,8,6221,1151,312,47,1761,1,13.00,7,2374.50,2,0,6,2,3,3,2,2,2,1,22,7,1992,26,1,Northeast,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,2,Janitor,Concussion,Multiple Parts,Gas,Clerical,Education
223,S,1992MA017,MA,56,1,7,3,558,93,5,4412,311,252,14,1521,2,3.25,2,1187.25,1,0,6,3,3,3,2,3,3,2,3,8,1992,.,.,Northeast,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,Landscaper,Seizure,Toe,Equipment,Testing,Construction
224,S,1992MN006,MN,44,1,7,3,557,93,5,4411,312,231,10,1711,2,7.00,4,2556.75,2,0,6,3,2,3,2,2,2,2,12,6,1992,.,.,Midwest,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,Gardener,Seizure,Toe,Machine,Maintenance,Retail
225,S,1992MN007,MN,45,1,7,3,804,80, ,8252,431,150,65,1622,1,.,500,.,.,0,6,3,3,3,3,3,3,1,30,6,1992,.,.,Midwest,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,Nurse,Concussion,Unknown,Wall,HVAC,Assembly
226,S,1992MN010,MN,20,1,7,3,567,68,13,624,1154,312,10,1521,1,.,4,548.25,2,0,6,2,3,3,2,1,2,1,10,5,1992,12,1,Midwest,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,Molder,Internal Injury,Arm,Liquid,Clerical,Construction
227,S,1992MN014,MN,18,1,7,3,599,80,8,8253,431,150,69,1611,1,.,200,41.50,.,0,6,1,3,1,3,3,3,2,11,7,1992,.,.,Midwest,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1,1,Records Clerk,Concussion,Multiple Parts,Ceiling,HVAC,Manufacturing
228,S,1992MN018,MN,28,1,7,3,855,60,10,3212,4233,215,64,1794,2,.,.,.,.,0,6,2,3,3,3,3,3,1,28,9,1992,.,.,Midwest,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Therapist,Amputation,Neck,Saw,Packaging,Legal
229,S,1992MN019,MN,27,1,7,3,804,80,8,8252,433,322,64,1611,1,.,24,456.75,.,0,6,3,3,3,2,1,2,1,14,10,1992,.,.,Midwest,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Nurse,Concussion,Multiple Parts,Wall,Management,Manufacturing
230,S,1992MN021,MN,38,1,7,3,595,80,8,624,1154,633,10,1521,1,.,.,.,2,0,6,2,3,3,3,3,3,1,19,10,1992,20,1,Midwest,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,Administrative Assistant,Concussion,Multiple Parts,Liquid,Cleaning,Construction
231,S,1992MN022,MN,45,1,7,3,588,13,8,950,119,312,61,1622,1,.,.,5478.75,1,0,6,2,3,3,1,3,3,2,12,11,1992,6,1,Midwest,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,Receiving Clerk,Dislocation,Multiple Parts,Structure,Clerical,Assembly
232,S,1992MO002,MO,28,1,7,3,597,68,13,6221,119,312,47,1541,1,19.00,23,3166.00,2,0,6,2,3,2,2,3,3,1,1,6,1992,20,1,Midwest,1,2,2,2,1,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,Data Entry Clerk,Internal Injury,Arm,Gas,Clerical,Excavation
233,S,1992MO023,MO,51,1,7,3,597,60,10,623,117,260,47,1791,1,72.00,300,1826.25,13,0,6,2,3,1,1,3,2,2,27,6,1992,23,1,Midwest,1,2,2,2,1,2,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,Data Entry Clerk,Amputation,Neck,Gas,Quality Control,Insurance
234,S,1992MO034,MO,33,1,7,3,595,60,11,624,119,633,12,1761,1,9.00,10,.,.,0,6,3,3,3,3,3,3,1,16,8,1992,16,0,Midwest,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,Administrative Assistant,Amputation,Shoulder,Liquid,Cleaning,Education
235,S,1992MO037,MO,29,1,7,3,869,53,8,9621,321,321,98,1623,1,24.00,103,5.00,7,2,6,3,3,1,3,3,3,1,25,9,1992,.,.,Midwest,2,1,2,2,1,2,2,2,1,2,2,1,2,2,1,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,1,1,1,2,Manager,Chemical Burn,Multiple Parts,Other Fatal,Supervision,Packaging
236,S,1992MO04601,MO,21,1,7,3,597,91,5,941,3411,363,75,1799,1,7.50,35,.,4,1,6,3,1,3,1,3,3,1,13,11,1992,.,.,Midwest,2,2,2,2,1,2,2,2,1,2,2,1,2,2,1,1,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,1,1,1,1,2,Data Entry Clerk,Heart Attack,Toe,Building,Sales,Miscellaneous
237,S,1992MO04602,MO,30,1,7,3,597,53,8,9341,321,363,75,1799,1,7.50,35,.,4,1,6,3,1,3,1,3,3,1,13,11,1992,.,.,Midwest,2,2,2,2,1,2,2,2,1,2,2,1,2,2,1,1,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,1,1,1,1,2,Data Entry Clerk,Chemical Burn,Multiple Parts,Other,Sales,Miscellaneous
238,S,1992NJ001,NJ,31,1,7,3,599,13,10,4133,117,311,47,1622,1,20.00,150,30.50,6,0,6,1,3,3,1,2,2,2,6,1,1992,35,1,Northeast,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,Records Clerk,Dislocation,Neck,Escalator,Office Work,Assembly
239,S,1992NJ006,NJ,49,1,7,3,597,68,18,6221,117,510,47,1791,1,29.00,94,14.00,17,0,6,1,1,3,1,2,2,1,9,3,1992,20,1,Northeast,1,2,2,2,1,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,Data Entry Clerk,Internal Injury,Hand,Gas,Nursing,Insurance
240,S,1992NJ007,NJ,60,1,7,3,575,93,5,4411,312,249,75,1731,1,.,50,6.00,3,0,6,3,3,3,2,2,2,1,16,3,1992,.,.,Northeast,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,Machine Operator,Seizure,Toe,Machine,Other Cleaning,Food Service
241,S,1992NJ008,NJ,30,1,7,3,547,60,10,821,113,321,93,7538,2,22.00,1,2191.50,1,0,6,3,2,3,3,3,3,2,1,4,1992,16,0,Northeast,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,Safety Officer,Amputation,Neck,Coworker,Supervision,Therapy
242,S,1992NJ029,NJ,35,1,7,3,869,93,5,4415,313,594,65,1611,1,1.00,47,305.00,5,0,6,3,1,1,1,2,2,2,14,8,1992,.,.,Northeast,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,Manager,Seizure,Toe,Vehicle,Law Enforcement,Manufacturing
243,S,1992NJ035,NJ,34,1,7,3,579,80,8,623,116,362,69,1721,1,80.00,27,517.75,2,1,6,1,1,1,1,3,3,2,8,9,1992,364,1,Northeast,1,2,2,2,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,Forklift Operator,Concussion,Multiple Parts,Gas,Customer Service,Wholesale
244,S,1992NJ038,NJ,51,1,7,3,547,60,10,4112,1124,633,47,9223,1,24.00,400,152.50,1,0,3,2,3,3,1,1,2,1,29,8,1992,3,0,Northeast,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,Safety Officer,Amputation,Neck,Ceiling,Cleaning,Fire
245,S,1992NJ046,NJ,25,1,7,3,783,86,8,623,119,619,49,1799,1,15.00,30,1461.00,4,0,6,1,3,3,2,1,2,2,21,9,1992,100,1,Northeast,1,2,2,2,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,Medical Assistant,Poisoning,Multiple Parts,Gas,Other Education,Miscellaneous
246,S,1992NJ054,NJ,41,1,7,3,585,12,252,6251,119,260,73,7011,1,.,6000,913.50,2,0,6,2,3,3,3,1,2,1,1,10,1992,13,1,Northeast,1,2,2,2,1,2,1,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,2,Stock Clerk,Fracture,Hip,Dust,Quality Control,Healthcare
247,S,1992WI036,WI,44,1,1,3,599,60,10,624,119,540,65,1611,1,156.00,.,.,.,0,3,3,3,3,1,1,3,1,8,10,1990,.,0,Midwest,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,Records Clerk,Amputation,Neck,Liquid,Pharmacy,Manufacturing
248,S,1992WI11901,WI,24,1,7,3,567,91,5,941,3411,330,14,1751,2,.,2,.,2,0,6,2,2,3,3,3,3,1,30,10,1992,.,.,Midwest,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,Molder,Heart Attack,Toe,Building,Other Office,Healthcare
249,S,1992WI11902,WI,29,1,7,3,567,91,5,941,3411,330,14,1751,3,.,2,.,2,0,6,2,2,3,3,3,3,1,30,10,1992,.,.,Midwest,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,Molder,Heart Attack,Toe,Building,Other Office,Healthcare
250,S,1992WY009,WY,39,1,7,3,866,94,252,4112,41,244,14,1711,1,.,.,6.00,2,0,6,2,3,3,3,3,3,1,11,5,1992,.,.,West,2,2,2,1,2,2,2,2,2,2,1,1,2,1,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,1,1,2,Program Coordinator,Other,Hip,Ceiling,Waste Disposal,Retail
251,S,1992WY010,WY,42,1,7,3,558,94,220,8253,4112,113,62,9999,3,50.00,.,1095.75,1,0,6,2,3,3,1,3,3,1,15,5,1992,.,.,West,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,Landscaper,Other,Torso,Ceiling,Demolition,Unknown
252,S,1992WY011,WY,36,1,7,3,558,94,220,8512,4233,124,92,1611,1,.,.,.,1,0,6,3,3,3,3,3,3,2,6,6,1992,.,.,West,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,Landscaper,Other,Torso,Supervisor,Roofing,Manufacturing
253,I,1993-07,PA,31,1,7,3,216,94,220,3212,432,560,49,8999,1,10.00,4,.,.,0,6,3,3,3,2,1,2,2,18,11,1992,.,.,Northeast,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,Supervisor,Other,Torso,Saw,Other Medical,Other Public
254,I,1993-15,SC,48,1,7,3,579,60,10,6221,116,343,49,1721,1,14.00,100,1.00,3,0,6,2,1,3,1,1,2,1,7,4,1993,30,1,South,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,1,2,Forklift Operator,Amputation,Neck,Gas,Operating Equipment,Wholesale
255,I,1993-1701,MD,40,1,7,3,599,92,5,9621,381,349,10,8999,2,.,2,.,3,0,6,2,3,3,2,2,2,1,1,5,1993,.,.,South,2,1,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,1,1,2,Records Clerk,Stroke,Toe,Other Fatal,Other Transport,Other Public
