Scenario,Risk_Level,Cause_of_Accident,Keywords
Machine operator suffered amputation to the neck while clerical with gas in food service.,High,Amputation due to Gas during Clerical,"Machine Operator, Amputation, Neck, Gas, Clerical, Food Service"
Manager suffered seizure to the toe while testing with machine in other manufacturing.,Medium,Seizure due to Machine during Testing,"Manager, Seizure, Toe, Machine, Testing, Other Manufacturing"
Manager suffered concussion to the multiple parts while production with gas in accommodation.,Medium,Concussion due to Gas during Production,"Manager, Concussion, Multiple Parts, Gas, Production, Accommodation"
Firefighter suffered amputation to the neck while cleaning with gas in excavation.,High,Amputation due to Gas during Cleaning,"Firefighter, Amputation, Neck, Gas, Cleaning, Excavation"
Data entry clerk suffered internal injury to the arm while other public safety with gas in insurance.,High,Internal Injury due to Gas during Other Public Safety,"Data Entry Clerk, Internal Injury, Arm, Gas, Other Public Safety, Insurance"
Data entry clerk suffered concussion to the multiple parts while quality control with other radiation in excavation.,Medium,Concussion due to Other Radiation during Quality Control,"Data Entry Clerk, Concussion, Multiple Parts, Other Radiation, Quality Control, Excavation"
Manager suffered seizure to the toe while law enforcement with vehicle in pharmacy.,Medium,Seizure due to Vehicle during Law Enforcement,"Manager, Seizure, Toe, Vehicle, Law Enforcement, Pharmacy"
Manager suffered seizure to the toe while customer service with other vehicle in other services.,Medium,Seizure due to Other Vehicle during Customer Service,"Manager, Seizure, Toe, Other Vehicle, Customer Service, Other Services"
Machine operator suffered seizure to the toe while clerical with vehicle in packaging.,Medium,Seizure due to Vehicle during Clerical,"Machine Operator, Seizure, Toe, Vehicle, Clerical, Packaging"
Molder suffered sprain/strain to the neck while clerical with gas in healthcare.,Medium,Sprain/Strain due to Gas during Clerical,"Molder, Sprain/Strain, Neck, Gas, Clerical, Healthcare"
Custodian suffered seizure to the toe while other medical with vehicle in food service.,Medium,Seizure due to Vehicle during Other Medical,"Custodian, Seizure, Toe, Vehicle, Other Medical, Food Service"
Data entry clerk suffered concussion to the multiple parts while other office with fire in insurance.,Medium,Concussion due to Fire during Other Office,"Data Entry Clerk, Concussion, Multiple Parts, Fire, Other Office, Insurance"
Administrative assistant suffered amputation to the neck while planning with liquid in education.,High,Amputation due to Liquid during Planning,"Administrative Assistant, Amputation, Neck, Liquid, Planning, Education"
Assembler suffered amputation to the neck while office work with liquid in accommodation.,High,Amputation due to Liquid during Office Work,"Assembler, Amputation, Neck, Liquid, Office Work, Accommodation"
Dentist suffered asphyxia to the torso while cleaning with electrical equipment in other manufacturing.,High,Asphyxia due to Electrical Equipment during Cleaning,"Dentist, Asphyxia, Torso, Electrical Equipment, Cleaning, Other Manufacturing"
Office clerk suffered other to the torso while clerical with other chemical in tourism.,Low,Other due to Other Chemical during Clerical,"Office Clerk, Other, Torso, Other Chemical, Clerical, Tourism"
Molder suffered amputation to the neck while clerical with customer in education.,High,Amputation due to Customer during Clerical,"Molder, Amputation, Neck, Customer, Clerical, Education"
Administrative assistant suffered concussion to the multiple parts while sales with liquid in education.,Medium,Concussion due to Liquid during Sales,"Administrative Assistant, Concussion, Multiple Parts, Liquid, Sales, Education"
Administrative assistant suffered internal injury to the hand while clerical with liquid in education.,High,Internal Injury due to Liquid during Clerical,"Administrative Assistant, Internal Injury, Hand, Liquid, Clerical, Education"
Forklift operator suffered internal injury to the neck while other transport with liquid in wholesale.,High,Internal Injury due to Liquid during Other Transport,"Forklift Operator, Internal Injury, Neck, Liquid, Other Transport, Wholesale"
File clerk suffered seizure to the toe while receiving with vehicle in other manufacturing.,Medium,Seizure due to Vehicle during Receiving,"File Clerk, Seizure, Toe, Vehicle, Receiving, Other Manufacturing"
Quality control suffered seizure to the toe while therapy with vehicle in other manufacturing.,Medium,Seizure due to Vehicle during Therapy,"Quality Control, Seizure, Toe, Vehicle, Therapy, Other Manufacturing"
Forklift operator suffered seizure to the toe while other transport with vehicle in wholesale.,Medium,Seizure due to Vehicle during Other Transport,"Forklift Operator, Seizure, Toe, Vehicle, Other Transport, Wholesale"
Molder suffered other to the multiple parts while clerical with gas in education.,Low,Other due to Gas during Clerical,"Molder, Other, Multiple Parts, Gas, Clerical, Education"
Molder suffered internal injury to the shoulder while law enforcement with gas in construction.,High,Internal Injury due to Gas during Law Enforcement,"Molder, Internal Injury, Shoulder, Gas, Law Enforcement, Construction"
Janitor suffered crushing to the shoulder while education with gas in public admin.,High,Crushing due to Gas during Education,"Janitor, Crushing, Shoulder, Gas, Education, Public Admin"
Warehouse worker suffered seizure to the toe while clerical with vehicle in food service.,Medium,Seizure due to Vehicle during Clerical,"Warehouse Worker, Seizure, Toe, Vehicle, Clerical, Food Service"
Program coordinator suffered internal injury to the hand while data entry with gas in education.,High,Internal Injury due to Gas during Data Entry,"Program Coordinator, Internal Injury, Hand, Gas, Data Entry, Education"
Data entry clerk suffered amputation to the neck while law enforcement with steam in insurance.,High,Amputation due to Steam during Law Enforcement,"Data Entry Clerk, Amputation, Neck, Steam, Law Enforcement, Insurance"
Forklift operator suffered concussion to the multiple parts while other education with gas in wholesale.,Medium,Concussion due to Gas during Other Education,"Forklift Operator, Concussion, Multiple Parts, Gas, Other Education, Wholesale"
Administrative assistant suffered seizure to the toe while serving with machine in education.,Medium,Seizure due to Machine during Serving,"Administrative Assistant, Seizure, Toe, Machine, Serving, Education"
Manager suffered amputation to the neck while demolition with other building in manufacturing.,High,Amputation due to Other Building during Demolition,"Manager, Amputation, Neck, Other Building, Demolition, Manufacturing"
Custodian suffered seizure to the toe while other office with machine in food service.,Medium,Seizure due to Machine during Other Office,"Custodian, Seizure, Toe, Machine, Other Office, Food Service"
Program coordinator suffered seizure to the toe while surgery with vehicle in education.,Medium,Seizure due to Vehicle during Surgery,"Program Coordinator, Seizure, Toe, Vehicle, Surgery, Education"
Forklift operator suffered seizure to the toe while law enforcement with vehicle in wholesale.,Medium,Seizure due to Vehicle during Law Enforcement,"Forklift Operator, Seizure, Toe, Vehicle, Law Enforcement, Wholesale"
Packager suffered seizure to the toe while clerical with vehicle in food service.,Medium,Seizure due to Vehicle during Clerical,"Packager, Seizure, Toe, Vehicle, Clerical, Food Service"
Program coordinator suffered amputation to the neck while nursing with gas in construction.,High,Amputation due to Gas during Nursing,"Program Coordinator, Amputation, Neck, Gas, Nursing, Construction"
Administrative assistant suffered internal injury to the arm while pharmacy with scaffold in education.,High,Internal Injury due to Scaffold during Pharmacy,"Administrative Assistant, Internal Injury, Arm, Scaffold, Pharmacy, Education"
Therapist suffered other to the torso while excavation with panel in manufacturing.,Low,Other due to Panel during Excavation,"Therapist, Other, Torso, Panel, Excavation, Manufacturing"
Data entry clerk suffered amputation to the neck while cleaning with gas in therapy.,High,Amputation due to Gas during Cleaning,"Data Entry Clerk, Amputation, Neck, Gas, Cleaning, Therapy"
Therapist suffered poisoning to the multiple parts while excavation with saw in manufacturing.,Medium,Poisoning due to Saw during Excavation,"Therapist, Poisoning, Multiple Parts, Saw, Excavation, Manufacturing"
Manager suffered seizure to the toe while surgery with vehicle in healthcare.,Medium,Seizure due to Vehicle during Surgery,"Manager, Seizure, Toe, Vehicle, Surgery, Healthcare"
Manager suffered stroke to the toe while office work with other fatal in packaging.,High,Stroke due to Other Fatal during Office Work,"Manager, Stroke, Toe, Other Fatal, Office Work, Packaging"
Administrative assistant suffered seizure to the toe while other food with vehicle in education.,Medium,Seizure due to Vehicle during Other Food,"Administrative Assistant, Seizure, Toe, Vehicle, Other Food, Education"
Social worker suffered other to the torso while packaging with hammer in consulting.,Low,Other due to Hammer during Packaging,"Social Worker, Other, Torso, Hammer, Packaging, Consulting"
Manager suffered seizure to the toe while other cleaning with machine in unknown.,Medium,Seizure due to Machine during Other Cleaning,"Manager, Seizure, Toe, Machine, Other Cleaning, Unknown"
Administrative assistant suffered amputation to the shoulder while cleaning with liquid in education.,High,Amputation due to Liquid during Cleaning,"Administrative Assistant, Amputation, Shoulder, Liquid, Cleaning, Education"
Stock clerk suffered seizure to the toe while law enforcement with machine in unknown.,Medium,Seizure due to Machine during Law Enforcement,"Stock Clerk, Seizure, Toe, Machine, Law Enforcement, Unknown"
Data entry clerk suffered poisoning to the multiple parts while office work with gas in insurance.,Medium,Poisoning due to Gas during Office Work,"Data Entry Clerk, Poisoning, Multiple Parts, Gas, Office Work, Insurance"
Data entry clerk suffered poisoning to the multiple parts while office work with gas in insurance.,Medium,Poisoning due to Gas during Office Work,"Data Entry Clerk, Poisoning, Multiple Parts, Gas, Office Work, Insurance"
Molder suffered amputation to the neck while office work with gas in healthcare.,High,Amputation due to Gas during Office Work,"Molder, Amputation, Neck, Gas, Office Work, Healthcare"
Janitor suffered internal injury to the arm while office work with gas in healthcare.,High,Internal Injury due to Gas during Office Work,"Janitor, Internal Injury, Arm, Gas, Office Work, Healthcare"
Janitor suffered seizure to the toe while therapy with vehicle in construction.,Medium,Seizure due to Vehicle during Therapy,"Janitor, Seizure, Toe, Vehicle, Therapy, Construction"
Janitor suffered other to the multiple parts while other cleaning with gas in construction.,Low,Other due to Gas during Other Cleaning,"Janitor, Other, Multiple Parts, Gas, Other Cleaning, Construction"
Janitor suffered internal injury to the arm while data entry with noise in education.,High,Internal Injury due to Noise during Data Entry,"Janitor, Internal Injury, Arm, Noise, Data Entry, Education"
Manager suffered other to the torso while data entry with fatal source in consulting.,Low,Other due to Fatal Source during Data Entry,"Manager, Other, Torso, Fatal Source, Data Entry, Consulting"
Manager suffered sprain/strain to the neck while teaching with gas in accommodation.,Medium,Sprain/Strain due to Gas during Teaching,"Manager, Sprain/Strain, Neck, Gas, Teaching, Accommodation"
Forklift operator suffered concussion to the multiple parts while other manufacturing with gas in wholesale.,Medium,Concussion due to Gas during Other Manufacturing,"Forklift Operator, Concussion, Multiple Parts, Gas, Other Manufacturing, Wholesale"
Janitor suffered concussion to the multiple parts while clerical with gas in education.,Medium,Concussion due to Gas during Clerical,"Janitor, Concussion, Multiple Parts, Gas, Clerical, Education"
Landscaper suffered seizure to the toe while testing with equipment in construction.,Medium,Seizure due to Equipment during Testing,"Landscaper, Seizure, Toe, Equipment, Testing, Construction"
Gardener suffered seizure to the toe while maintenance with machine in retail.,Medium,Seizure due to Machine during Maintenance,"Gardener, Seizure, Toe, Machine, Maintenance, Retail"
Nurse suffered concussion to the unknown while hvac with wall in assembly.,Medium,Concussion due to Wall during HVAC,"Nurse, Concussion, Unknown, Wall, HVAC, Assembly"
Molder suffered internal injury to the arm while clerical with liquid in construction.,High,Internal Injury due to Liquid during Clerical,"Molder, Internal Injury, Arm, Liquid, Clerical, Construction"
Records clerk suffered concussion to the multiple parts while hvac with ceiling in manufacturing.,Medium,Concussion due to Ceiling during HVAC,"Records Clerk, Concussion, Multiple Parts, Ceiling, HVAC, Manufacturing"
Therapist suffered amputation to the neck while packaging with saw in legal.,High,Amputation due to Saw during Packaging,"Therapist, Amputation, Neck, Saw, Packaging, Legal"
Nurse suffered concussion to the multiple parts while management with wall in manufacturing.,Medium,Concussion due to Wall during Management,"Nurse, Concussion, Multiple Parts, Wall, Management, Manufacturing"
Administrative assistant suffered concussion to the multiple parts while cleaning with liquid in construction.,Medium,Concussion due to Liquid during Cleaning,"Administrative Assistant, Concussion, Multiple Parts, Liquid, Cleaning, Construction"
Receiving clerk suffered dislocation to the multiple parts while clerical with structure in assembly.,Medium,Dislocation due to Structure during Clerical,"Receiving Clerk, Dislocation, Multiple Parts, Structure, Clerical, Assembly"
Data entry clerk suffered internal injury to the arm while clerical with gas in excavation.,High,Internal Injury due to Gas during Clerical,"Data Entry Clerk, Internal Injury, Arm, Gas, Clerical, Excavation"
Data entry clerk suffered amputation to the neck while quality control with gas in insurance.,High,Amputation due to Gas during Quality Control,"Data Entry Clerk, Amputation, Neck, Gas, Quality Control, Insurance"
Administrative assistant suffered amputation to the shoulder while cleaning with liquid in education.,High,Amputation due to Liquid during Cleaning,"Administrative Assistant, Amputation, Shoulder, Liquid, Cleaning, Education"
Manager suffered chemical burn to the multiple parts while supervision with other fatal in packaging.,Medium,Chemical Burn due to Other Fatal during Supervision,"Manager, Chemical Burn, Multiple Parts, Other Fatal, Supervision, Packaging"
Data entry clerk suffered heart attack to the toe while sales with building in miscellaneous.,High,Heart Attack due to Building during Sales,"Data Entry Clerk, Heart Attack, Toe, Building, Sales, Miscellaneous"
Data entry clerk suffered chemical burn to the multiple parts while sales with other in miscellaneous.,Medium,Chemical Burn due to Other during Sales,"Data Entry Clerk, Chemical Burn, Multiple Parts, Other, Sales, Miscellaneous"
Records clerk suffered dislocation to the neck while office work with escalator in assembly.,Medium,Dislocation due to Escalator during Office Work,"Records Clerk, Dislocation, Neck, Escalator, Office Work, Assembly"
Data entry clerk suffered internal injury to the hand while nursing with gas in insurance.,High,Internal Injury due to Gas during Nursing,"Data Entry Clerk, Internal Injury, Hand, Gas, Nursing, Insurance"
Machine operator suffered seizure to the toe while other cleaning with machine in food service.,Medium,Seizure due to Machine during Other Cleaning,"Machine Operator, Seizure, Toe, Machine, Other Cleaning, Food Service"
Safety officer suffered amputation to the neck while supervision with coworker in therapy.,High,Amputation due to Coworker during Supervision,"Safety Officer, Amputation, Neck, Coworker, Supervision, Therapy"
Manager suffered seizure to the toe while law enforcement with vehicle in manufacturing.,Medium,Seizure due to Vehicle during Law Enforcement,"Manager, Seizure, Toe, Vehicle, Law Enforcement, Manufacturing"
Forklift operator suffered concussion to the multiple parts while customer service with gas in wholesale.,Medium,Concussion due to Gas during Customer Service,"Forklift Operator, Concussion, Multiple Parts, Gas, Customer Service, Wholesale"
Safety officer suffered amputation to the neck while cleaning with ceiling in fire.,High,Amputation due to Ceiling during Cleaning,"Safety Officer, Amputation, Neck, Ceiling, Cleaning, Fire"
Medical assistant suffered poisoning to the multiple parts while other education with gas in miscellaneous.,Medium,Poisoning due to Gas during Other Education,"Medical Assistant, Poisoning, Multiple Parts, Gas, Other Education, Miscellaneous"
Stock clerk suffered fracture to the hip while quality control with dust in healthcare.,Medium,Fracture due to Dust during Quality Control,"Stock Clerk, Fracture, Hip, Dust, Quality Control, Healthcare"
Records clerk suffered amputation to the neck while pharmacy with liquid in manufacturing.,High,Amputation due to Liquid during Pharmacy,"Records Clerk, Amputation, Neck, Liquid, Pharmacy, Manufacturing"
Molder suffered heart attack to the toe while other office with building in healthcare.,High,Heart Attack due to Building during Other Office,"Molder, Heart Attack, Toe, Building, Other Office, Healthcare"
Molder suffered heart attack to the toe while other office with building in healthcare.,High,Heart Attack due to Building during Other Office,"Molder, Heart Attack, Toe, Building, Other Office, Healthcare"
Program coordinator suffered other to the hip while waste disposal with ceiling in retail.,Low,Other due to Ceiling during Waste Disposal,"Program Coordinator, Other, Hip, Ceiling, Waste Disposal, Retail"
Landscaper suffered other to the torso while demolition with ceiling in unknown.,Low,Other due to Ceiling during Demolition,"Landscaper, Other, Torso, Ceiling, Demolition, Unknown"
Landscaper suffered other to the torso while roofing with supervisor in manufacturing.,Low,Other due to Supervisor during Roofing,"Landscaper, Other, Torso, Supervisor, Roofing, Manufacturing"
Supervisor suffered other to the torso while other medical with saw in other public.,Low,Other due to Saw during Other Medical,"Supervisor, Other, Torso, Saw, Other Medical, Other Public"
Forklift operator suffered amputation to the neck while operating equipment with gas in wholesale.,High,Amputation due to Gas during Operating Equipment,"Forklift Operator, Amputation, Neck, Gas, Operating Equipment, Wholesale"
Records clerk suffered stroke to the toe while other transport with other fatal in other public.,High,Stroke due to Other Fatal during Other Transport,"Records Clerk, Stroke, Toe, Other Fatal, Other Transport, Other Public"
Records clerk suffered stroke to the toe while other transport with other fatal in other public.,High,Stroke due to Other Fatal during Other Transport,"Records Clerk, Stroke, Toe, Other Fatal, Other Transport, Other Public"
Packager suffered amputation to the neck while production with gas in food service.,High,Amputation due to Gas during Production,"Packager, Amputation, Neck, Gas, Production, Food Service"
Receiving clerk suffered internal injury to the arm while cleaning with gas in public administration.,High,Internal Injury due to Gas during Cleaning,"Receiving Clerk, Internal Injury, Arm, Gas, Cleaning, Public Administration"
Administrative assistant suffered other to the torso while education with gas in education.,Low,Other due to Gas during Education,"Administrative Assistant, Other, Torso, Gas, Education"
Forklift operator suffered shock to the multiple parts while education with other chemical in wholesale.,Medium,Shock due to Other Chemical during Education,"Forklift Operator, Shock, Multiple Parts, Other Chemical, Education, Wholesale"
Manager suffered concussion to the multiple parts while education with wall in construction.,Medium,Concussion due to Wall during Education,"Manager, Concussion, Multiple Parts, Wall, Education, Construction"
Molder suffered crushing to the shoulder while sales with gas in food service.,High,Crushing due to Gas during Sales,"Molder, Crushing, Shoulder, Gas, Sales, Food Service"
Landscaper suffered concussion to the multiple parts while serving with gas in education.,Medium,Concussion due to Gas during Serving,"Landscaper, Concussion, Multiple Parts, Gas, Serving, Education"
Data entry clerk suffered concussion to the multiple parts while serving with gas in excavation.,Medium,Concussion due to Gas during Serving,"Data Entry Clerk, Concussion, Multiple Parts, Gas, Serving, Excavation"
Manager suffered internal injury to the hand while education with tool in roofing.,High,Internal Injury due to Tool during Education,"Manager, Internal Injury, Hand, Tool, Education, Roofing"
Janitor suffered seizure to the toe while surgery with vehicle in demolition.,Medium,Seizure due to Vehicle during Surgery,"Janitor, Seizure, Toe, Vehicle, Surgery, Demolition"
Manager suffered concussion to the multiple parts while waste disposal with pipe in public administration.,Medium,Concussion due to Pipe during Waste Disposal,"Manager, Concussion, Multiple Parts, Pipe, Waste Disposal, Public Administration"
Forklift operator suffered concussion to the multiple parts while other medical with other fatal in wholesale.,Medium,Concussion due to Other Fatal during Other Medical,"Forklift Operator, Concussion, Multiple Parts, Other Fatal, Other Medical, Wholesale"
Machine operator suffered seizure to the toe while other cleaning with machine in food service.,Medium,Seizure due to Machine during Other Cleaning,"Machine Operator, Seizure, Toe, Machine, Other Cleaning, Food Service"
Molder suffered unknown to the neck while planning with other surface in healthcare.,Medium,Unknown due to Other Surface during Planning,"Molder, Unknown, Neck, Other Surface, Planning, Healthcare"
Data entry clerk suffered concussion to the multiple parts while clerical with gas in insurance.,Medium,Concussion due to Gas during Clerical,"Data Entry Clerk, Concussion, Multiple Parts, Gas, Clerical, Insurance"
Molder suffered concussion to the multiple parts while cleaning with gas in healthcare.,Low,Concussion due to Gas during Cleaning,"Molder, Concussion, Multiple Parts, Gas, Cleaning, Healthcare"
Assembler suffered other to the torso while data entry with gas in accommodation.,Medium,Other due to Gas during Data Entry,"Assembler, Other, Torso, Gas, Data Entry, Accommodation"
Manager suffered concussion to the multiple parts while cooking with gas in education.,Low,Concussion due to Gas during Cooking,"Manager, Concussion, Multiple Parts, Gas, Cooking, Education"
Manager suffered hearing loss to the toe while office work with fatal in public administration.,Medium,Hearing Loss due to Fatal during Office Work,"Manager, Hearing Loss, Toe, Fatal, Office Work, Public Administration"
Custodian suffered seizure to the toe while other food with machine in food service.,Medium,Seizure due to Machine during Other Food,"Custodian, Seizure, Toe, Machine, Other Food, Food Service"
Engineer suffered seizure to the toe while supervision with vehicle in therapy.,Medium,Seizure due to Vehicle during Supervision,"Engineer, Seizure, Toe, Vehicle, Supervision, Therapy"
Manager suffered seizure to the toe while other food with vehicle in packaging.,High,Seizure due to Vehicle during Other Food,"Manager, Seizure, Toe, Vehicle, Other Food, Packaging"
Administrative assistant suffered amputation to the head while education with unknown in education.,High,Amputation due to Unknown during Education,"Administrative Assistant, Amputation, Head, Unknown, Education"
Administrative assistant suffered amputation to the neck while cleaning with gas in education.,Medium,Amputation due to Gas during Cleaning,"Administrative Assistant, Amputation, Neck, Gas, Cleaning, Education"
Manager suffered concussion to the multiple parts while serving with other chemical in construction.,Medium,Concussion due to Other Chemical during Serving,"Manager, Concussion, Multiple Parts, Other Chemical, Serving, Construction"
Manager suffered seizure to the toe while surgery with machine in roofing.,Medium,Seizure due to Machine during Surgery,"Manager, Seizure, Toe, Machine, Surgery, Roofing"
Data entry clerk suffered concussion to the multiple parts while cleaning with soil in other manufacturing.,Medium,Concussion due to Soil during Cleaning,"Data Entry Clerk, Concussion, Multiple Parts, Soil, Cleaning, Other Manufacturing"
Administrative assistant suffered poisoning to the multiple parts while education with gas in education.,Low,Poisoning due to Gas during Education,"Administrative Assistant, Poisoning, Multiple Parts, Gas, Education"
Janitor suffered other to the multiple parts while cleaning with other radiation in public administration.,High,Other due to Other Radiation during Cleaning,"Janitor, Other, Multiple Parts, Other Radiation, Cleaning, Public Administration"
Manager suffered crushing to the shoulder while law enforcement with public in other manufacturing.,Medium,Crushing due to Public during Law Enforcement,"Manager, Crushing, Shoulder, Public, Law Enforcement, Other Manufacturing"
Social worker suffered seizure to the toe while receiving with vehicle in finance.,Low,Seizure due to Vehicle during Receiving,"Social Worker, Seizure, Toe, Vehicle, Receiving, Finance"
Manager suffered other to the torso while roofing with wrench in manufacturing.,Medium,Other due to Wrench during Roofing,"Manager, Other, Torso, Wrench, Roofing, Manufacturing"
Records clerk suffered concussion to the multiple parts while other office with liquid in education.,Low,Concussion due to Liquid during Other Office,"Records Clerk, Concussion, Multiple Parts, Liquid, Other Office, Education"
Data entry clerk suffered other to the torso while cleaning with fire in insurance.,Medium,Other due to Fire during Cleaning,"Data Entry Clerk, Other, Torso, Fire, Cleaning, Insurance"
Receptionist suffered seizure to the toe while supervision with machine in education.,Medium,Seizure due to Machine during Supervision,"Receptionist, Seizure, Toe, Machine, Supervision, Education"
Machine operator suffered seizure to the toe while maintenance with other vehicle in food service.,High,Seizure due to Other Vehicle during Maintenance,"Machine Operator, Seizure, Toe, Other Vehicle, Maintenance, Food Service"
Assembler suffered amputation to the neck while supervision with gas in accommodation.,High,Amputation due to Gas during Supervision,"Assembler, Amputation, Neck, Gas, Supervision, Accommodation"
Manager suffered crushing to the shoulder while entertainment with liquid in accommodation.,High,Crushing due to Liquid during Entertainment,"Manager, Crushing, Shoulder, Liquid, Entertainment, Accommodation"
Packager suffered amputation to the neck while clerical with gas in food service.,High,Amputation due to Gas during Clerical,"Packager, Amputation, Neck, Gas, Clerical, Food Service"
Janitor suffered internal injury to the hand while other food with gas in construction.,Low,Internal Injury due to Gas during Other Food,"Janitor, Internal Injury, Hand, Gas, Other Food, Construction"
Manager suffered other to the torso while pharmacy with platform in roofing.,High,Other due to Platform during Pharmacy,"Manager, Other, Torso, Platform, Pharmacy, Roofing"
Secretary suffered multiple injuries to the shoulder while excavation with sheet in manufacturing.,Low,Multiple Injuries due to Sheet during Excavation,"Secretary, Multiple Injuries, Shoulder, Sheet, Excavation, Manufacturing"
Nurse suffered other to the torso while painting with other building in unknown.,Medium,Other due to Other Building during Painting,"Nurse, Other, Torso, Other Building, Painting, Unknown"
Administrative assistant suffered shock to the multiple parts while sales with gas in education.,Low,Shock due to Gas during Sales,"Administrative Assistant, Shock, Multiple Parts, Gas, Sales, Education"
Stock clerk suffered other to the torso while clerical with staircase in packaging.,Medium,Other due to Staircase during Clerical,"Stock Clerk, Other, Torso, Staircase, Clerical, Packaging"
Machine operator suffered seizure to the toe while loading with forklift in food service.,High,Seizure due to Forklift during Loading,"Machine Operator, Seizure, Toe, Forklift, Loading, Food Service"
Molder suffered crushing to the shoulder while education with cold in healthcare.,High,Crushing due to Cold during Education,"Molder, Crushing, Shoulder, Cold, Education, Healthcare"
Production worker suffered amputation to the neck while other maintenance with gas in construction.,Low,Amputation due to Gas during Other Maintenance,"Production Worker, Amputation, Neck, Gas, Other Maintenance, Construction"
Custodian suffered other to the torso while other office with steam in food service.,Medium,Other due to Steam during Other Office,"Custodian, Other, Torso, Steam, Other Office, Food Service"
Molder suffered shock to the multiple parts while cleaning with gas in education.,Medium,Shock due to Gas during Cleaning,"Molder, Shock, Multiple Parts, Gas, Cleaning, Education"
Surveyor suffered seizure to the toe while maintenance with machine in retail.,Medium,Seizure due to Machine during Maintenance,"Surveyor, Seizure, Toe, Machine, Maintenance, Retail"
Surveyor suffered seizure to the toe while other office with machine in retail.,Low,Seizure due to Machine during Other Office,"Surveyor, Seizure, Toe, Machine, Other Office, Retail"
Teacher suffered other to the torso while excavation with computer in manufacturing.,High,Other due to Computer during Excavation,"Teacher, Other, Torso, Computer, Excavation, Manufacturing"
Manager suffered internal injury to the arm while law enforcement with can in public administration.,High,Internal Injury due to Can during Law Enforcement,"Manager, Internal Injury, Arm, Can, Law Enforcement, Public Administration"
Program coordinator suffered heart attack to the toe while supervision with unknown in packaging.,High,Heart Attack due to Unknown during Supervision,"Program Coordinator, Heart Attack, Toe, Unknown, Supervision, Packaging"
Molder suffered amputation to the neck while supervision with fire in roofing.,Medium,Amputation due to Fire during Supervision,"Molder, Amputation, Neck, Fire, Supervision, Roofing"
Landscaper suffered concussion to the multiple parts while data entry with gas in consulting.,High,Concussion due to Gas during Data Entry,"Landscaper, Concussion, Multiple Parts, Gas, Data Entry, Consulting"
Manager suffered amputation to the neck while data entry with liquid in arts.,High,Amputation due to Liquid during Data Entry,"Manager, Amputation, Neck, Liquid, Data Entry, Arts"
Fabricator suffered crushing to the shoulder while clerical with noise in entertainment.,Medium,Crushing due to Noise during Clerical,"Fabricator, Crushing, Shoulder, Noise, Clerical, Entertainment"
Custodian suffered seizure to the toe while data entry with vehicle in food service.,High,Seizure due to Vehicle during Data Entry,"Custodian, Seizure, Toe, Vehicle, Data Entry, Food Service"
Records clerk suffered crushing to the shoulder while clerical with gas in construction.,Medium,Crushing due to Gas during Clerical,"Records Clerk, Crushing, Shoulder, Gas, Clerical, Construction"
Forklift operator suffered seizure to the toe while surgery with vehicle in wholesale.,Medium,Seizure due to Vehicle during Surgery,"Forklift Operator, Seizure, Toe, Vehicle, Surgery, Wholesale"
Records clerk suffered poisoning to the multiple parts while data entry with gas in consulting.,High,Poisoning due to Gas during Data Entry,"Records Clerk, Poisoning, Multiple Parts, Gas, Data Entry, Consulting"
Assembler suffered amputation to the neck while serving with liquid in excavation.,Medium,Amputation due to Liquid during Serving,"Assembler, Amputation, Neck, Liquid, Serving, Excavation"
Landscaper suffered concussion to the multiple parts while education with gas in insurance.,High,Concussion due to Gas during Education,"Landscaper, Concussion, Multiple Parts, Gas, Education, Insurance"
Landscaper suffered amputation to the shoulder while education with gas in construction.,Medium,Amputation due to Gas during Education,"Landscaper, Amputation, Shoulder, Gas, Education, Construction"
Data entry clerk suffered concussion to the multiple parts while clerical with gas in insurance.,Medium,Concussion due to Gas during Clerical,"Data Entry Clerk, Concussion, Multiple Parts, Gas, Clerical, Insurance"
Landscaper suffered concussion to the multiple parts while clerical with other liquid in public administration.,High,Concussion due to Other Liquid during Clerical,"Landscaper, Concussion, Multiple Parts, Other Liquid, Clerical, Public Administration"
Molder suffered amputation to the neck while cleaning with gas in excavation.,Medium,Amputation due to Gas during Cleaning,"Molder, Amputation, Neck, Gas, Cleaning, Excavation"
Records clerk suffered poisoning to the multiple parts while other office with liquid in education.,Medium,Poisoning due to Liquid during Other Office,"Records Clerk, Poisoning, Multiple Parts, Liquid, Other Office, Education"
Custodian suffered seizure to the toe while other cleaning with machine in food service.,Medium,Seizure due to Machine during Other Cleaning,"Custodian, Seizure, Toe, Machine, Other Cleaning, Food Service"
Production worker suffered concussion to the multiple parts while clerical with gas in tourism.,Medium,Concussion due to Gas during Clerical,"Production Worker, Concussion, Multiple Parts, Gas, Clerical, Tourism"
Molder suffered concussion to the multiple parts while cleaning with chemical substance in healthcare.,Low,Concussion due to Chemical Substance during Cleaning,"Molder, Concussion, Multiple Parts, Chemical Substance, Cleaning, Healthcare"
Landscaper suffered other to the multiple parts while entertainment with hand tool in manufacturing.,High,Other due to Hand Tool during Entertainment,"Landscaper, Other, Multiple Parts, Hand Tool, Entertainment, Manufacturing"
Records clerk suffered amputation to the neck while education with animal in insurance.,Low,Amputation due to Animal during Education,"Records Clerk, Amputation, Neck, Animal, Education, Insurance"
Dentist suffered other to the multiple parts while serving with cold in roofing.,Medium,Other due to Cold during Serving,"Dentist, Other, Multiple Parts, Cold, Serving, Roofing"
